line,edited_loss,untouched_loss,full_loss
4074,0.12369577586650848,0.7609000205993652,0.8845957517623901
3466,0.29344624280929565,0.670630693435669,0.964076817035675
1173,0.67169588804245,0.17035715281963348,0.8420529961585999
3218,0.5036330223083496,0.3736584484577179,0.8772915005683899
5419,0.05949520692229271,0.2893650531768799,0.3488602340221405
1277,0.110707588493824,0.37542498111724854,0.48613256216049194
2754,0.0,0.4690134823322296,0.4690134823322296
3533,0.7707156538963318,0.32498061656951904,1.0956963300704956
1285,1.2828611135482788,0.2456071972846985,1.528468370437622
6551,0.5504662990570068,0.20380036532878876,0.7542666792869568
6224,0.2283354550600052,0.37400713562965393,0.6023426055908203
2366,0.00938978511840105,0.5753340125083923,0.5847238302230835
460,0.0,0.2690960466861725,0.2690960466861725
5797,0.11436937749385834,0.33483096957206726,0.4492003321647644
3126,0.0,0.6583003401756287,0.6583003401756287
3404,1.811877965927124,0.5431846380233765,2.355062484741211
1875,0.7380263805389404,0.48644497990608215,1.2244713306427002
3933,0.0,0.3742324411869049,0.3742324411869049
1320,0.0,0.35009098052978516,0.35009098052978516
5140,0.0,0.28450655937194824,0.28450655937194824
1835,0.5631615519523621,0.2107393592596054,0.7739009261131287
4852,0.6151312589645386,0.29854029417037964,0.9136714935302734
1523,0.0,0.33212026953697205,0.33212026953697205
3265,0.39007946848869324,0.8877852559089661,1.2778648138046265
3456,1.4305052757263184,0.22774842381477356,1.6582536697387695
5511,0.30176252126693726,0.23157811164855957,0.5333406329154968
1317,0.08713925629854202,0.18002104759216309,0.2671602964401245
987,0.7846119403839111,0.13932110369205475,0.9239330291748047
6960,0.23779042065143585,0.2786671817302704,0.5164576172828674
1189,0.8766140341758728,0.27823033928871155,1.1548442840576172
3878,0.2807854115962982,0.2872128486633301,0.5679982304573059
6325,0.59407639503479,0.5626444220542908,1.1567208766937256
3534,0.19810466468334198,0.4231308698654175,0.6212354898452759
4093,0.9466322660446167,0.30624425411224365,1.2528765201568604
5235,0.0,2.2002506256103516,2.2002506256103516
5840,0.0,0.3094056248664856,0.3094056248664856
1070,0.31705451011657715,0.5882830619812012,0.9053375720977783
1652,0.0,0.6780148148536682,0.6780148148536682
1400,0.5316559672355652,0.20630773901939392,0.7379636764526367
3952,0.2915385067462921,0.1882154941558838,0.4797540307044983
6426,0.0,0.47507649660110474,0.47507649660110474
651,0.0,0.5283695459365845,0.5283695459365845
3457,0.0,0.18724803626537323,0.18724803626537323
1880,0.0,0.28085747361183167,0.28085747361183167
4574,0.20434732735157013,0.4141164720058441,0.6184637546539307
51,0.0,0.3943743109703064,0.3943743109703064
1195,0.38462772965431213,0.557492196559906,0.9421198964118958
4339,0.7178932428359985,0.4087153375148773,1.1266086101531982
6301,0.6091283559799194,0.6504950523376465,1.259623408317566
5992,0.2422962188720703,0.4261000454425812,0.6683962941169739
1527,1.0211623907089233,0.4934591054916382,1.514621376991272
275,0.10521374642848969,0.31253668665885925,0.41775041818618774
5145,0.0,0.5390310287475586,0.5390310287475586
5363,0.050069764256477356,0.5679134726524353,0.6179832816123962
190,0.21226611733436584,0.40595635771751404,0.6182224750518799
3263,0.4902603030204773,0.41548508405685425,0.9057453870773315
2120,0.0,0.4013840854167938,0.4013840854167938
6697,0.15177923440933228,0.4558044970035553,0.6075837016105652
632,0.06803081184625626,0.680865466594696,0.7488962411880493
652,0.12129803001880646,0.5089836120605469,0.6302816271781921
861,1.9179881811141968,0.2917756140232086,2.209764003753662
4685,0.0,0.3330579698085785,0.3330579698085785
2666,0.0,0.29106372594833374,0.29106372594833374
2918,0.04464089125394821,0.37063106894493103,0.41527193784713745
5317,0.5786052942276001,0.30145689845085144,0.8800622820854187
6510,2.167633056640625,0.2588740885257721,2.426506996154785
5055,0.0,0.7316673398017883,0.7316673398017883
1774,0.86546790599823,0.13928329944610596,1.0047510862350464
4428,0.008458049967885017,0.6128660440444946,0.6213240623474121
4643,0.20316940546035767,0.27203017473220825,0.4751995801925659
2680,0.0,0.515752911567688,0.515752911567688
5872,0.3059951961040497,0.29742515087127686,0.6034203767776489
6474,0.08921178430318832,0.38695845007896423,0.47617021203041077
4586,0.0,0.3020559847354889,0.3020559847354889
3182,0.05641475319862366,0.36832818388938904,0.4247429370880127
1231,0.4230925738811493,0.24888795614242554,0.671980619430542
6051,0.0,0.3799523413181305,0.3799523413181305
1850,0.5816165208816528,0.04002811387181282,0.6216446757316589
5417,0.8983045220375061,0.3260628879070282,1.2243672609329224
6008,0.3205547332763672,0.7173596024513245,1.0379143953323364
1056,0.0,0.4499095678329468,0.4499095678329468
