setting,g,base_rate_parameter,regime,budget_fraction,method,groups,coefficient_mse,coefficient_mse_se,gradient_mse,gradient_mse_se,conditional_bias_sq,conditional_bias_sq_se,gradient_bias_sq,gradient_bias_sq_se,expected_cost,expected_cost_se,expected_query_count,expected_query_count_se,complete_group_probability,complete_group_probability_se,schedule_cpu_seconds,schedule_cpu_seconds_se,schedule_wall_seconds,schedule_wall_seconds_se,expected_completion_cpu_seconds,expected_completion_cpu_seconds_se,total_algorithm_cpu_seconds,total_algorithm_cpu_seconds_se,realized_success_fraction,realized_success_fraction_se,true_probability_mean,true_probability_mean_se
g16_base0.05_calibrated,16,0.05,calibrated,0.25,whole_group_cv,256,26.820586104234224,0.9153430199586757,0.5623727875888691,0.03537384895888213,7.284698359277428e-32,6.896156030105053e-33,1.1898347600703857e-33,1.643572090262747e-34,4.0,2.2461480778545524e-17,4.0,0.0,0.25,0.0,4.2187500000484546e-06,1.9482230150631977e-07,5.215983037487604e-06,3.4414257903700596e-07,0.000579835937500061,6.338710490304714e-06,0.0005840546875001094,6.428075994362989e-06,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.25,rr_fixed,256,20.624860954776132,1.5681129173052835,0.43394574452628565,0.04622599660866813,1.1274564631340956e-31,1.0860403473999587e-32,2.153335876835357e-33,2.9848142229378653e-34,4.0,3.0404709722440586e-17,4.887587532757382,0.02565978858292851,0.10206588776024468,0.0006746955582165531,0.0002519726562500435,3.2661805186880915e-06,0.0002791827373584965,1.032016169527842e-05,0.0033077516158769213,3.1719043182103305e-05,0.003559724272126965,3.3634212119992e-05,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.25,rr_model,256,17.658969716513376,1.084911177975923,0.3703146663732224,0.031736955440991955,1.4485106286728205e-31,1.3047068657286858e-32,2.7326125187897665e-33,3.276195975779529e-34,4.0,3.847496099960557e-17,4.597049829563494,0.022741666662252812,0.08945939353016957,0.0016772143611033764,0.005573953124999767,4.0868293626994086e-05,0.0060953397642151685,0.00011456591844938069,0.0031461810175894044,3.016228829701191e-05,0.00872013414258917,6.731061883866933e-05,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.5,whole_group_cv,256,8.940195368078074,0.3051143399862253,0.18745759586295635,0.011791282986294043,4.915183866663893e-32,3.4773311188403636e-33,9.21621451872663e-34,8.515757330040627e-35,8.0,4.492296155709105e-17,8.0,0.0,0.5,0.0,3.0781250000694316e-06,2.163094776779381e-07,4.357085344963707e-06,4.732124127405298e-07,0.0005899453125000967,6.477994346982764e-06,0.0005930234375001661,6.550265625911281e-06,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.5,rr_fixed,256,5.036853497035683,0.5017176608762249,0.10618961322401334,0.013873888088634486,1.149034249347154e-31,1.1247448170721037e-32,2.1393834879420828e-33,2.736618453139581e-34,8.0,6.061037007466664e-17,9.026507987002253,0.03202374601416726,0.24442252267704895,0.0013784296987926889,0.00023086718750017776,2.5149476066400494e-06,0.0002608741688163718,8.081837649859033e-06,0.0056258098292885925,5.0993248428346604e-05,0.00585667701678877,5.255807637809261e-05,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.5,rr_model,256,4.569664864929751,0.41433913433457076,0.09541705822607292,0.011217407915697426,1.214290424692291e-31,1.0589183536416727e-32,2.244351411044552e-33,3.091281315605564e-34,8.0,6.090870019579482e-17,8.976371220025811,0.034343421828204185,0.18396613243107557,0.003393823135241386,0.005563734374999699,4.099975003240265e-05,0.006096135339248576,0.00011659613865147528,0.005598445804459992,5.138349995532076e-05,0.011162180179459693,8.788609754905432e-05,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.75,whole_group_cv,256,2.9800651226926917,0.10170477999540842,0.062485865287652126,0.003930427662098015,2.1834306149306743e-31,1.801145134247856e-32,4.280168506857678e-33,4.64560317519042e-34,12.0,6.257237638880692e-17,12.0,0.0,0.75,0.0,2.570312500102534e-06,1.5717785170569565e-07,3.992208803538233e-06,4.620437079129504e-07,0.0006000546875001324,6.628329501612894e-06,0.0006026250000002349,6.687955105238888e-06,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.75,rr_fixed,256,1.0277020693019359,0.156100378943848,0.021232832757729504,0.003928628681717749,9.972364382452833e-32,9.151198383974749e-33,1.7055651021233974e-33,2.033225872816346e-34,12.0,1.0793161135777494e-16,12.737015596570851,0.02479347686576049,0.4561336695622688,0.001887274662831556,0.00023029296874993443,2.5766587180540007e-06,0.0002601059095468372,7.990966049530576e-06,0.007707012862696087,6.817403928038233e-05,0.007937305831446022,6.974125251921757e-05,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_calibrated,16,0.05,calibrated,0.75,rr_model,256,0.8652832314951227,0.13696809237275026,0.017724911043362723,0.003431789845129803,1.086462859363083e-31,1.0214803847803758e-32,1.710433603598442e-33,2.0601123070543585e-34,12.0,1.1612941578506196e-16,12.804350090307267,0.02969322022691767,0.3227197620815228,0.005302351728241096,0.005563445312499804,4.107244489549696e-05,0.006093694417359075,0.00011658005323352754,0.007745572760790623,6.902023714177498e-05,0.013309018073290426,0.00010599572238569613,0.081298828125,0.004291927324647485,0.08117132833441065,0.0014983671801653328
g16_base0.05_overconfident,16,0.05,overconfident,0.25,whole_group_cv,256,34.95249745913745,0.463068176123731,0.8154296325036385,0.03436711472265312,1.2815742818120318e-31,7.062169021182174e-33,2.514422970211204e-33,2.089138321281593e-34,4.0,2.2927398125844692e-17,4.0,0.0,0.25,0.0,2.8437499998146265e-06,9.632890831723368e-08,3.367675162735395e-06,9.861146643395253e-08,0.0005317890625003603,1.742142436540244e-06,0.0005346328125001749,1.7426100505342646e-06,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_overconfident,16,0.05,overconfident,0.25,rr_fixed,256,45.354746017658556,1.585620972501066,1.0361847936397706,0.05386784997966536,2.3605542716571886e-31,1.2459395401145186e-32,4.8856089176565307e-33,3.9241389938127895e-34,4.0,3.361367133633543e-17,4.894484290458226,0.024473754056013586,0.10226012189362824,0.0006461825314109096,0.00022382812499992244,1.0862501092870665e-06,0.00022644813725491986,1.4747976512525682e-06,0.0030389996425356433,1.314121384442901e-05,0.0032628277675355657,1.325612163911183e-05,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_overconfident,16,0.05,overconfident,0.25,rr_model,256,36.79938026290339,1.291684934008467,0.856348757950019,0.04195992104095016,2.6656057883897557e-31,1.5131852151442522e-32,4.655527388823135e-33,3.5366258519271207e-34,4.0,3.379294552158634e-17,4.596280955885128,0.023190576979167352,0.08942946224511011,0.0016556982788260002,0.005179964843750051,7.463375325935313e-06,0.005214336468270631,9.606634327728222e-06,0.0028857063938867306,1.2382429435135573e-05,0.008065671237636782,1.5448995876492032e-05,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
