split,mechanism,alpha,method,sample_size,target,squared_bias,trace_variance,exact_mse,mc_mean_squared_error,mc_standard_error
diagnostic,edit,0.0,unweighted,64,full_alpha1_population_gradient,0.001546493876422722,0.0002099627672637882,0.0017564566436865103,0.0017402646952330055,1.6665136336945613e-05
diagnostic,edit,0.0,oracle_ipw,64,full_alpha1_population_gradient,0.0022896074205403043,0.00014582542935354177,0.0024354328498938462,0.0024201519342364483,1.6140614480172516e-05
diagnostic,edit,0.05,unweighted,64,full_alpha1_population_gradient,0.0013846780004124833,0.00020901356350204803,0.0015936915639145313,0.0015799605563046625,1.5555084760886792e-05
diagnostic,edit,0.05,oracle_ipw,64,full_alpha1_population_gradient,0.0020663706970376235,0.00014539847235628303,0.0022117691693939066,0.0021999816764221194,1.503775156220596e-05
diagnostic,edit,0.1,unweighted,64,full_alpha1_population_gradient,0.001231946502108191,0.00020876771209912094,0.0014407142142073119,0.0014292506003794217,1.4507923357100984e-05
diagnostic,edit,0.1,oracle_ipw,64,full_alpha1_population_gradient,0.0018545820106376472,0.00014667076072802485,0.002001252771365672,0.00199265440269067,1.4146328284029783e-05
diagnostic,edit,0.15000000000000002,unweighted,64,full_alpha1_population_gradient,0.0010882993815098448,0.00020922521305500672,0.0012975245945648515,0.0012881348274572824,1.3518227591113329e-05
diagnostic,edit,0.15000000000000002,oracle_ipw,64,full_alpha1_population_gradient,0.0016542413613403694,0.00014964229446876726,0.0018038836558091366,0.001798170113042099,1.3436890985412167e-05
diagnostic,edit,0.2,unweighted,64,full_alpha1_population_gradient,0.0009537366386174458,0.000210386066369706,0.0011641227049871518,0.0011566132375382448,1.2580140919490166e-05
diagnostic,edit,0.2,oracle_ipw,64,full_alpha1_population_gradient,0.001465348749145795,0.00015431307357851047,0.0016196618227243055,0.0016165288074764081,1.2873605043714247e-05
diagnostic,edit,0.25,unweighted,64,full_alpha1_population_gradient,0.0008282582734309937,0.0002122502720432181,0.0010405085454742117,0.0010346858306223092,1.1687464079605243e-05
diagnostic,edit,0.25,oracle_ipw,64,full_alpha1_population_gradient,0.0012879041740539215,0.0001606830980572542,0.0014485872721111757,0.001447730485993596,1.241707515194472e-05
diagnostic,edit,0.30000000000000004,unweighted,64,full_alpha1_population_gradient,0.0007118642859504867,0.0002148178300755438,0.0009266821160260304,0.0009223526067094754,1.0833783310098707e-05
diagnostic,edit,0.30000000000000004,oracle_ipw,64,full_alpha1_population_gradient,0.001121907636064749,0.00016875236790499863,0.0012906600039697476,0.001291775148593663,1.2027595537645752e-05
diagnostic,edit,0.35000000000000003,unweighted,64,full_alpha1_population_gradient,0.0006045546761759277,0.0002180887404666822,0.0008226434166426099,0.0008196135657997432,1.0012644385095025e-05
diagnostic,edit,0.35000000000000003,oracle_ipw,64,full_alpha1_population_gradient,0.0009673591351782783,0.0001785208831217437,0.001145880018300022,0.0011486627952766097,1.1668041573515527e-05
diagnostic,edit,0.4,unweighted,64,full_alpha1_population_gradient,0.0005063294441073147,0.00022206300321663355,0.0007283924473239483,0.000726468707893113,9.217784189530201e-06
diagnostic,edit,0.4,oracle_ipw,64,full_alpha1_population_gradient,0.0008242586713945096,0.00018998864370748931,0.001014247315101999,0.0010183934260424357,1.1305949105273263e-05
diagnostic,edit,0.45,unweighted,64,full_alpha1_population_gradient,0.0004171885897446493,0.00022674061832539876,0.0006439292080700481,0.0006429180329895845,8.443442520421723e-06
diagnostic,edit,0.45,oracle_ipw,64,full_alpha1_population_gradient,0.0006926062447134418,0.0002031556496622354,0.0008957618943756772,0.0009009670408911405,1.0914758750910162e-05
diagnostic,edit,0.5,unweighted,64,full_alpha1_population_gradient,0.0003371321130879296,0.0002321215857929764,0.000569253698880906,0.0005689615410891577,7.68479945839471e-06
diagnostic,edit,0.5,oracle_ipw,64,full_alpha1_population_gradient,0.0005724018551350759,0.00021802190098598254,0.0007904237561210584,0.0007963836398227249,1.0474510303517098e-05
diagnostic,edit,0.55,unweighted,64,full_alpha1_population_gradient,0.00026616001413715655,0.0002382059056193674,0.000504365919756524,0.0005045992321918329,6.9386291274206995e-06
diagnostic,edit,0.55,oracle_ipw,64,full_alpha1_population_gradient,0.0004636455026594115,0.00023458739767873003,0.0006982329003381415,0.0007046432228371882,9.972420965231373e-06
diagnostic,edit,0.6000000000000001,unweighted,64,full_alpha1_population_gradient,0.0002042722928923303,0.0002449935778045717,0.00044926587069690196,0.0004498311062976098,6.204351730622951e-06
diagnostic,edit,0.6000000000000001,oracle_ipw,64,full_alpha1_population_gradient,0.0003663371872864485,0.0002528521397404779,0.0006191893270269264,0.0006257457899345309,9.403860524588387e-06
diagnostic,edit,0.65,unweighted,64,full_alpha1_population_gradient,0.00015146894935345127,0.000252484602348589,0.00040395355170204025,0.00040465716340648864,5.485847687584126e-06
diagnostic,edit,0.65,oracle_ipw,64,full_alpha1_population_gradient,0.00028047690901618724,0.0002728161271712269,0.0005532930361874141,0.0005596913411147528,8.77436709710363e-06
diagnostic,edit,0.7000000000000001,unweighted,64,full_alpha1_population_gradient,0.00010774998352051827,0.0002606789792514195,0.00036842896277193777,0.0003690774035184693,4.794743995238674e-06
diagnostic,edit,0.7000000000000001,oracle_ipw,64,full_alpha1_population_gradient,0.0002060646678486274,0.00029447935997097647,0.0005005440278196038,0.0005064798763778542,8.103615815829325e-06
diagnostic,edit,0.75,unweighted,64,full_alpha1_population_gradient,7.311539539353208e-05,0.0002695767085130631,0.00034269210390659515,0.0003430918266335515,4.156401957798916e-06
diagnostic,edit,0.75,oracle_ipw,64,full_alpha1_population_gradient,0.00014310046378376889,0.0003178418381397264,0.0004609423019234953,0.00046611139572383435,7.432574326848034e-06
diagnostic,edit,0.8,unweighted,64,full_alpha1_population_gradient,4.756518497249245e-05,0.0002791777901335198,0.00032674297510601225,0.0003267004327517359,3.6197523493177897e-06
diagnostic,edit,0.8,oracle_ipw,64,full_alpha1_population_gradient,9.158429682161188e-05,0.00034290356167747713,0.000434487858499089,0.0004385858991526942,6.8345671655625535e-06
diagnostic,edit,0.8500000000000001,unweighted,64,full_alpha1_population_gradient,3.1099352257399616e-05,0.00028948222411278923,0.00032058157637018884,0.00031990322187302165,3.267004582673384e-06
diagnostic,edit,0.8500000000000001,oracle_ipw,64,full_alpha1_population_gradient,5.151616696215674e-05,0.00036966453058422815,0.0004211806975463849,0.00042390338666443284,6.4261828762924065e-06
diagnostic,edit,0.9,unweighted,64,full_alpha1_population_gradient,2.3717897248253367e-05,0.00030049001045087247,0.00032420790769912585,0.0003227001939974096,3.2006204573581614e-06
diagnostic,edit,0.9,oracle_ipw,64,full_alpha1_population_gradient,2.2896074205402943e-05,0.00039812474485998036,0.0004210208190653833,0.00042206385825905104,6.359577905415953e-06
diagnostic,edit,0.9500000000000001,unweighted,64,full_alpha1_population_gradient,2.542081994505384e-05,0.0003122011491477682,0.000337621969092822,0.0003350913491248989,3.481942222098156e-06
diagnostic,edit,0.9500000000000001,oracle_ipw,64,full_alpha1_population_gradient,5.72401855135075e-06,0.0004282842045047329,0.00043400822305608364,0.0004330673139365483,6.76969417001615e-06
diagnostic,edit,1.0,unweighted,64,full_alpha1_population_gradient,3.620812034780088e-05,0.00032461564020347806,0.00036082376055127894,0.00035707668725549016,4.0835923381844144e-06
diagnostic,edit,1.0,oracle_ipw,64,full_alpha1_population_gradient,4.1796280424809055e-37,0.0004601429095184864,0.0004601429095184864,0.0004569137536969249,7.703659354094968e-06
diagnostic,length,0.0,unweighted,64,full_alpha1_population_gradient,0.002414420898296099,0.00015834864296465097,0.00257276954126075,0.0025980406834911307,1.9782440806258165e-05
diagnostic,length,0.0,oracle_ipw,64,full_alpha1_population_gradient,0.0022896074205403043,0.00018649366908033083,0.002476101089620635,0.002510768836182696,2.1233897247294114e-05
diagnostic,length,0.05,unweighted,64,full_alpha1_population_gradient,0.002177513854225614,0.000157700600016731,0.002335214454242345,0.0023601773473424193,1.8479077765745185e-05
diagnostic,length,0.05,oracle_ipw,64,full_alpha1_population_gradient,0.0020663706970376235,0.00018583522848808566,0.002252205925525709,0.0022862059237066107,1.9963377673876583e-05
diagnostic,length,0.1,unweighted,64,full_alpha1_population_gradient,0.001952867011303129,0.00015786925777819445,0.0021107362690813234,0.002135330407716058,1.7281428235614097e-05
diagnostic,length,0.1,oracle_ipw,64,full_alpha1_population_gradient,0.0018545820106376472,0.00018616109241935655,0.0020407431030570037,0.0020740035905443474,1.8789401861955675e-05
diagnostic,length,0.15000000000000002,unweighted,64,full_alpha1_population_gradient,0.0017404803695286483,0.00015885461624904127,0.0018993349857776896,0.0019234998646120458,1.6181129081305e-05
diagnostic,length,0.15000000000000002,oracle_ipw,64,full_alpha1_population_gradient,0.0016542413613403694,0.00018747126087414372,0.0018417126222145131,0.0018741618366959068,1.7702547617827564e-05
diagnostic,length,0.2,unweighted,64,full_alpha1_population_gradient,0.0015403539289021695,0.00016065667542927164,0.0017010106043314412,0.0017246857180303829,1.5168500411361475e-05
diagnostic,length,0.2,oracle_ipw,64,full_alpha1_population_gradient,0.0014653487491457944,0.00018976573385244696,0.0016551144829982413,0.0016866806621612888,1.6692388523870837e-05
