org_code,year,field,source_cell,source_sheet,reason
RAL,2023,intent_leave_n,AWK13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2023,thinking_about_leaving_score,ALN13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2023,thinking_about_leaving_n,ASN13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2023,work_related_stress,AMT13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2023,work_related_stress_n,AUP13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,burnout_score,TF13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,burnout_n,ABK13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,n_resp,AIT13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,response_rate,AIS13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,wellbeing_action,VA13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,wellbeing_action_n,ACX13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,intent_leave,WX13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,intent_leave_n,AEU13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,thinking_about_leaving_score,TV13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,thinking_about_leaving_n,AAW13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,work_related_stress,VB13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2024,work_related_stress_n,ACY13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,burnout_score,BTN15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,burnout_n,CBD15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,n_resp,CHX15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,response_rate,CHW15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,wellbeing_action,BVI15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,wellbeing_action_n,CCQ15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,intent_leave,BWW15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,intent_leave_n,CEE15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,thinking_about_leaving_score,BUD15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,thinking_about_leaving_n,CAP15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,work_related_stress,BVJ15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2021,work_related_stress_n,CCR15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,burnout_score,BCN15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,burnout_n,BKJ15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,n_resp,BRJ15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,response_rate,BRI15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,wellbeing_action,BEI15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,wellbeing_action_n,BLW15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,intent_leave,BGB15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,intent_leave_n,BNP15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,thinking_about_leaving_score,BDD15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,thinking_about_leaving_n,BJV15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,work_related_stress,BEJ15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2022,work_related_stress_n,BLX15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,burnout_score,AKX15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,burnout_n,ATB15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,n_resp,BAJ15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,response_rate,BAI15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,wellbeing_action,AMS15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,wellbeing_action_n,AUO15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,intent_leave,AOO15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,intent_leave_n,AWK15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,thinking_about_leaving_score,ALN15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,thinking_about_leaving_n,ASN15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,work_related_stress,AMT15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2023,work_related_stress_n,AUP15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,burnout_score,TF15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,burnout_n,ABK15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,n_resp,AIT15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,response_rate,AIS15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,wellbeing_action,VA15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,wellbeing_action_n,ACX15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,intent_leave,WX15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,intent_leave_n,AEU15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,thinking_about_leaving_score,TV15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,thinking_about_leaving_n,AAW15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,work_related_stress,VB15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAX,2024,work_related_stress_n,ACY15,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,burnout_score,BTN19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,burnout_n,CBD19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,n_resp,CHX19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,response_rate,CHW19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
