n,raw_mse,geometric_mse,posterior_mse
10.0,0.625,0.15963492808575866,0.08202953816170089
10.353218432956622,0.6036770150724189,0.1551480819935469,0.08119470084829991
10.718913192051275,0.5830815016427929,0.15081431262388978,0.08035408047221232
11.097524964120721,0.5631886407290637,0.14662839749255063,0.07950804693307396
11.489510001873091,0.5439744600928226,0.14258529228961744,0.07865697634714652
11.895340673703195,0.5254158053511453,0.1386801248007687,0.07780125015968535
12.315506032928255,0.5074903120740009,0.134908189035927,0.07694125423895118
12.75051240713013,0.4901763788336051,0.1312649395582237,0.07607737795690371
13.200884008314182,0.4734531411732445,0.12774598600644113,0.07521001326174458
13.667163564620067,0.45730044646419976,0.12434708780433147,0.0743395537475602
14.149912974345758,0.44169882962046825,0.12106414905043615,0.0734663937263479
14.649713983072855,0.42662948964202435,0.11789321358224879,0.07259092730769376
15.167168884709225,0.41207426695834676,0.1148304602087726,0.0717135474913019
15.702901247293775,0.3980156215449116,0.11187219810572764,0.07083464527746222
16.257556664437942,0.38443661178628136,0.10901486236785883,0.06995460880037663
16.831803533309568,0.37132087406031455,0.10625500971298457,0.0690738224890543
17.4263338600965,0.35865260301889973,0.10358931433260991,0.06819266626023268
18.04186409392072,0.34641653254144417,0.10101456388410283,0.06731151474748343
18.67913599020783,0.33459791733817024,0.09852765561960501,0.06643073657033086
19.33891750455231,0.3231825151810474,0.0961255926470115,0.06555069364684307
20.022003718155844,0.31215656974094624,0.09380548031851349,0.06467174055276162
20.72921779595371,0.3015067940103357,0.09156452274235287,0.06379422392981547
21.461411978584035,0.29122035429154264,0.08940001941358397,0.06291848194542594
22.21946860939524,0.28128485473128106,0.08730936195978309,0.06204484380556034
23.00430119772918,0.271688322382814,0.08529003099778407,0.06117362932202734
23.81685551976158,0.2624191927777444,0.08333959309765145,0.06030514853504672
24.658110758226027,0.2534662959900518,0.08145569785023354,0.05943970139146473
25.529080682395165,0.2448188431755788,0.07963607503476099,0.05857757747853064
26.430814869741056,0.23646641357074555,0.07787853188307753,0.05771905581271121
27.364399970746707,0.22839894193482851,0.07618095043720677,0.05686440468259435
28.330961018393243,0.22060670642066563,0.07454128499706984,0.056013881544529714
29.331662783900438,0.2130803168591758,0.07295755965527902,0.055167732969278224
30.367711180354576,0.20581070344357194,0.07142786591603607,0.054326194637592265
31.440354715915,0.19878910579963247,0.06995036039526624,0.05348949138233272
32.55088599835058,0.19200706242885984,0.06852326259921608,0.052657837274444744
33.700643292719285,0.18545640051180434,0.0671448527788385,0.051831435749870605
34.891012134067736,0.17912922605926565,0.06581346985737921,0.05101047977426841
36.123426997094306,0.17301791439950415,0.06452750942866733,0.05019515204223622
