cell_id,seed,reps,units,n_lo,n_hi,n_min,n_max,phi,sigma2,psi,trend,error_kind,response_bias,gaussian_exact,fraction,k,method,out_of_range_fraction,hit_mean,hit_mcse,hit_p10,hit_p90,latent_regret_mean,latent_regret_mcse,latent_regret_p10,latent_regret_p90,state_mse_mean,state_mse_mcse,state_mse_p10,state_mse_p90,rebound_mean,rebound_mcse,rebound_p10,rebound_p90,predicted_rebound_mean,predicted_rebound_mcse,predicted_rebound_p10,predicted_rebound_p90,rebound_residual_mean,rebound_residual_mcse,rebound_residual_p10,rebound_residual_p90
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.1,8,raw,0.00022333333333333333,0.4986,0.002064693825272508,0.375,0.625,0.18585670594314888,0.0011613227137407035,0.0853168736447019,0.2948199448675697,0.14645809680689287,0.0018559043981176639,0.07994145528678177,0.2189210417617185,0.5279438443980261,0.0036044103694212884,0.23512910515666768,0.8437386137420528,0.5452428386978383,0.0020448896065805556,0.38932769223327307,0.7243507879868449,-0.017298994299812114,0.002563098015243102,-0.23557944162958103,0.19913428491920188
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.1,8,equal_history,0.00022333333333333333,0.4928,0.0020677251019948187,0.25,0.625,0.16431861435127604,0.0009787197738141424,0.08080498572200119,0.25847348306253454,0.06728944664142068,0.00024999798221073534,0.05075068246434968,0.08459741467181778,0.2096014082496208,0.0032503907585916714,-0.0561280769989889,0.4906065105796961,0.21171612979663296,0.0021001058502030812,0.046073504806503546,0.3882908697573588,-0.002114721547012168,0.002395432263918855,-0.2052674485144413,0.20731686695808374
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.1,8,geometric_history,0.00022333333333333333,0.527675,0.002051410620062795,0.375,0.75,0.14442241369656336,0.0009150925930925573,0.0657210781093112,0.230782542070123,0.059834598512209826,0.0002467222380855199,0.04468040744854055,0.07600807582490361,0.25901333270294563,0.0033464776840212308,-0.016810199956318415,0.5456452213780381,0.26301775615317646,0.0021709135542671842,0.09204549052466812,0.4474062507536107,-0.0040044234502307945,0.0024084050020579625,-0.21069857487174593,0.2022461771090864
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.1,8,gaussian_posterior,0.00022333333333333333,0.57455,0.0020160040561642964,0.375,0.75,0.12038961058964291,0.0008349249296030725,0.04917144149625594,0.1989291252060853,0.04477943245673658,0.0003324457409610009,0.033134899747596154,0.0565056327781983,0.3310604196759655,0.003349767051042229,0.062332298366006074,0.6221813638283132,0.33834829085383833,0.002112191806595882,0.17828774495662345,0.5228149619812444,-0.007287871177872807,0.0023685528682915002,-0.2068343157066712,0.1971980351536585
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.1,8,independent_error_posterior,0.00022333333333333333,0.57455,0.0020160040561642964,0.375,0.75,0.12038961058964291,0.0008349249296030725,0.04917144149625594,0.1989291252060853,0.04477943245673658,0.0003324457409610009,0.033134899747596154,0.0565056327781983,0.3310604196759655,0.003349767051042229,0.062332298366006074,0.6221813638283132,0.33834829085383833,0.002112191806595882,0.17828774495662345,0.5228149619812444,-0.007287871177872807,0.0023685528682915002,-0.2068343157066712,0.1971980351536585
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.2,16,raw,0.00022333333333333333,0.6188125,0.0013379255314461785,0.5,0.75,0.12406323582871019,0.0006485560132392608,0.06820074851110772,0.1861886549217574,0.14645809680689287,0.0018559043981176639,0.07994145528678177,0.2189210417617185,0.3754601420237989,0.0022484678327606466,0.1856138220389345,0.5727565698707785,0.4060515493649093,0.0012383874232876541,0.3063123195000036,0.5175421198189877,-0.03059140734111038,0.0017274278643938025,-0.18041010738861551,0.1176990993730792
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.2,16,equal_history,0.00022333333333333333,0.5949375,0.0013777599984295722,0.5,0.6875,0.12557755770086643,0.0005992399462298412,0.0736759091221856,0.18286779941667186,0.06728944664142068,0.00024999798221073534,0.05075068246434968,0.08459741467181778,0.16025172764092535,0.002183374106284799,-0.024671984118005613,0.34984348881532423,0.167940726568072,0.0013466595582464031,0.05526813237869553,0.28745291123122313,-0.0076889989271466536,0.001682611680715108,-0.15112050308088162,0.13754786058498575
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.2,16,geometric_history,0.00022333333333333333,0.6233875,0.001360379118120755,0.5,0.75,0.10978848266664581,0.0005560211613628929,0.06167343287164275,0.16224677916697428,0.059834598512209826,0.0002467222380855199,0.04468040744854055,0.07600807582490361,0.1934377266415649,0.0022053326439804453,0.010014929180745202,0.38553192887207965,0.20389719284240768,0.0013605357479394235,0.09056886485299387,0.3225149753412637,-0.010459466200842772,0.0016969974536185542,-0.156699520117254,0.13572012885549042
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.2,16,gaussian_posterior,0.00022333333333333333,0.6641875,0.0013074033728983161,0.5625,0.75,0.09027597165979048,0.0005050887377474386,0.04671509082546459,0.1371617881073041,0.04477943245673658,0.0003324457409610009,0.033134899747596154,0.0565056327781983,0.2506943185820669,0.002159175642732253,0.06790893818048166,0.43712052372598365,0.26522418675852877,0.001304776527131709,0.1581187526368943,0.3826946555841943,-0.014529868176461918,0.0016381862317017626,-0.15579463979651806,0.1274594848756372
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.2,16,independent_error_posterior,0.00022333333333333333,0.6641875,0.0013074033728983161,0.5625,0.75,0.09027597165979048,0.0005050887377474386,0.04671509082546459,0.1371617881073041,0.04477943245673658,0.0003324457409610009,0.033134899747596154,0.0565056327781983,0.2506943185820669,0.002159175642732253,0.06790893818048166,0.43712052372598365,0.26522418675852877,0.001304776527131709,0.1581187526368943,0.3826946555841943,-0.014529868176461918,0.0016381862317017626,-0.15579463979651806,0.1274594848756372
