scenario,alpha,relative_bias,absolute_bias,derivative_squared,oracle_selection_bias
aligned,0.0,0.47781291679853366,0.7919595949289333,-0.2825559201231713,2.2887833992611187e-16
aligned,0.005,0.4763390726801649,0.7919595949289333,-0.27995791401119524,2.7755575615628914e-17
aligned,0.01,0.4748742481679905,0.7919595949289332,-0.27739155597105397,0.0
aligned,0.015,0.4734183611287753,0.7919595949289332,-0.27485636715877226,2.7755575615628914e-17
aligned,0.02,0.471971330418447,0.7919595949289333,-0.27235187736896116,2.7755575615628914e-17
aligned,0.025,0.47053307586732696,0.7919595949289333,-0.2698776248541646,2.220446049250313e-16
aligned,0.03,0.46910351826562324,0.7919595949289332,-0.26743315614849805,2.7755575615628914e-17
aligned,0.035,0.46768257934918084,0.7919595949289333,-0.26501802589546114,2.220446049250313e-16
aligned,0.04,0.46627018178548335,0.7919595949289332,-0.2626317966798165,8.326672684688674e-17
aligned,0.045,0.4648662491599017,0.7919595949289335,-0.26027403886342587,2.220446049250313e-16
aligned,0.05,0.4634707059621834,0.7919595949289333,-0.2579443304249407,2.7755575615628914e-17
aligned,0.055,0.46208347757318075,0.7919595949289332,-0.255642256803245,0.0
aligned,0.06,0.460704490251808,0.7919595949289333,-0.25336741074455327,2.7755575615628914e-17
aligned,0.065,0.45933367112222784,0.7919595949289333,-0.25111939215306683,2.237726045655905e-16
aligned,0.07,0.4579709481612598,0.7919595949289333,-0.2488978079450971,2.220446049250313e-16
aligned,0.075,0.45661625018600693,0.7919595949289333,-0.2467022719065655,2.237726045655905e-16
aligned,0.08,0.4552695068416959,0.7919595949289333,-0.2445324045537922,5.551115123125783e-17
aligned,0.085,0.4539306485897272,0.7919595949289333,-0.24238783299749,2.237726045655905e-16
aligned,0.09,0.4525996066959296,0.7919595949289333,-0.24026819080987885,2.237726045655905e-16
aligned,0.095,0.4512763132190173,0.7919595949289332,-0.2381731178948432,2.7755575615628914e-17
aligned,0.1,0.4499607009992437,0.7919595949289333,-0.23610226036105242,0.0
aligned,0.105,0.44865270364724724,0.7919595949289333,-0.23405527039797025,5.551115123125783e-17
aligned,0.11,0.4473522555330894,0.7919595949289333,-0.23203180615467855,2.7755575615628914e-17
aligned,0.115,0.44605929177547593,0.7919595949289333,-0.23003153162144385,0.0
aligned,0.12,0.4447737482311619,0.7919595949289333,-0.22805411651395896,2.3714374201337736e-16
aligned,0.125,0.4434955614845343,0.7919595949289332,-0.2260992361601893,2.7755575615628914e-17
aligned,0.13,0.44222466883737094,0.7919595949289333,-0.22416657138976162,5.551115123125783e-17
aligned,0.135,0.4409610082987697,0.7919595949289333,-0.2222558084258285,2.237726045655905e-16
aligned,0.14,0.439704518575247,0.7919595949289332,-0.22036663877934767,5.551115123125783e-17
aligned,0.145,0.4384551390610011,0.7919595949289333,-0.21849875914571673,2.7755575615628914e-17
aligned,0.15,0.43721280982833766,0.7919595949289333,-0.21665187130370306,5.551115123125783e-17
aligned,0.155,0.4359774716182532,0.7919595949289332,-0.21482568201661278,2.7755575615628914e-17
aligned,0.16,0.43474906583117584,0.7919595949289332,-0.2130199029356435,5.551115123125783e-17
aligned,0.165,0.433527534517857,0.7919595949289333,-0.21123425050536554,2.7755575615628914e-17
aligned,0.17,0.4323128203704144,0.7919595949289333,-0.20946844587128144,2.7755575615628914e-17
aligned,0.17500000000000002,0.4311048667135214,0.7919595949289332,-0.20772221478941028,5.551115123125783e-17
aligned,0.18,0.4299036174957405,0.7919595949289332,-0.20599528753784888,2.237726045655905e-16
aligned,0.185,0.4287090172809987,0.7919595949289333,-0.2042873988302605,5.551115123125783e-17
aligned,0.19,0.4275210112402012,0.7919595949289333,-0.2025982877312451,2.237726045655905e-16
aligned,0.195,0.4263395451429814,0.7919595949289333,-0.20092769757354376,5.551115123125783e-17
aligned,0.2,0.42516456534958513,0.7919595949289333,-0.19927537587703512,2.3714374201337736e-16
aligned,0.20500000000000002,0.4239960188028848,0.7919595949289332,-0.19764107426947763,2.220446049250313e-16
aligned,0.21,0.4228338530205233,0.7919595949289333,-0.19602454840895817,2.7755575615628914e-17
aligned,0.215,0.42167801608718347,0.7919595949289333,-0.19442555790800398,2.237726045655905e-16
aligned,0.22,0.42052845664698185,0.7919595949289332,-0.19284386625931957,5.551115123125783e-17
aligned,0.225,0.419385123895984,0.7919595949289332,-0.19127924076310793,2.7755575615628914e-17
aligned,0.23,0.41824796757483884,0.7919595949289333,-0.18973145245593995,5.551115123125783e-17
aligned,0.23500000000000001,0.41711693796153027,0.7919595949289333,-0.18820027604113362,2.237726045655905e-16
aligned,0.24,0.41599198586424446,0.7919595949289332,-0.18668548982060928,1.1102230246251565e-16
aligned,0.245,0.4148730626143488,0.7919595949289333,-0.18518687562818228,2.7755575615628914e-17
aligned,0.25,0.41376012005948265,0.7919595949289333,-0.183704218764264,2.220446049250313e-16
aligned,0.255,0.4126531105567561,0.7919595949289333,-0.182237307931933,2.2887833992611187e-16
aligned,0.26,0.41155198696605644,0.7919595949289333,-0.180785935174348,0.0
aligned,0.265,0.4104567026434585,0.7919595949289333,-0.17934989581346902,5.551115123125783e-17
aligned,0.27,0.4093672114347388,0.7919595949289332,-0.17792898839005664,0.0
aligned,0.275,0.4082834676689901,0.7919595949289335,-0.1765230146049197,2.2887833992611187e-16
aligned,0.28,0.4072054261523351,0.7919595949289333,-0.17513177926138265,5.551115123125783e-17
aligned,0.28500000000000003,0.4061330421617392,0.7919595949289332,-0.17375509020894278,5.551115123125783e-17
aligned,0.29,0.4050662714389164,0.7919595949289332,-0.17239275828809242,2.220446049250313e-16
