adapter_id,mechanism,alpha,method,step_size,gradient_norm,reporting_examples,baseline_mean_nll,adapted_mean_nll,nll_change,nll_change_se
0,edit,0.0,population_P,1.0,0.005397797168282855,256,0.792898697422753,0.7928913142733494,-7.383149403611334e-06,2.8077957668036e-06
1,edit,0.0,population_P,10.0,0.005397797168282855,256,0.792898697422753,0.7928270356209446,-7.16618018083459e-05,2.8043476026311836e-05
2,edit,0.0,sampled_Q,1.0,0.01665318121872625,256,0.792898697422753,0.7928741089030328,-2.4588519720146255e-05,8.494004263379814e-06
3,edit,0.0,sampled_Q,10.0,0.01665318121872625,256,0.792898697422753,0.7926700618187735,-0.0002286356039793723,8.448218799855202e-05
4,edit,0.0,oracle_ipw,1.0,0.009480954974058162,256,0.792898697422753,0.7928835672212824,-1.5130201470549312e-05,5.014350458626453e-06
5,edit,0.0,oracle_ipw,10.0,0.009480954974058162,256,0.792898697422753,0.7927533780967353,-0.00014531932601764442,4.999482634630699e-05
6,edit,0.25,population_P,1.0,0.0058693045199887635,256,0.792898697422753,0.7928658584760002,-3.2838946752789e-05,2.877131012441386e-06
7,edit,0.25,population_P,10.0,0.0058693045199887635,256,0.792898697422753,0.792572946021021,-0.00032575140173191444,2.8741777106373173e-05
8,edit,0.25,sampled_Q,1.0,0.01661862977444648,256,0.792898697422753,0.7928495113432319,-4.918607952110379e-05,8.167715191419538e-06
9,edit,0.25,sampled_Q,10.0,0.01661862977444648,256,0.792898697422753,0.7924217651928336,-0.0004769322299193791,8.120517802815695e-05
10,edit,0.25,oracle_ipw,1.0,0.009919890641301618,256,0.792898697422753,0.792859873492912,-3.882392984087054e-05,4.8699780932702975e-06
11,edit,0.25,oracle_ipw,10.0,0.009919890641301618,256,0.792898697422753,0.7925159869225014,-0.0003827105002515267,4.855069248903565e-05
12,edit,0.5,population_P,1.0,0.007510668094374515,256,0.792898697422753,0.792840436663125,-5.8260759627914195e-05,3.5449183594476734e-06
13,edit,0.5,population_P,10.0,0.007510668094374515,256,0.792898697422753,0.7923222474332303,-0.0005764499895225552,3.542636323002419e-05
14,edit,0.5,sampled_Q,1.0,0.017275457966858056,256,0.792898697422753,0.7928249494798678,-7.374794288508762e-05,8.096169284983963e-06
15,edit,0.5,sampled_Q,10.0,0.017275457966858056,256,0.792898697422753,0.7921770348689763,-0.0007216625537766776,8.050491148786674e-05
16,edit,0.5,oracle_ipw,1.0,0.011641878266959517,256,0.792898697422753,0.7928362129811544,-6.248444159858492e-05,5.127279063844044e-06
17,edit,0.5,oracle_ipw,10.0,0.011641878266959517,256,0.792898697422753,0.7922819125801368,-0.0006167848426161195,5.114272952896672e-05
18,edit,0.75,population_P,1.0,0.009747841468571725,256,0.792898697422753,0.7928150488218358,-8.364860091710901e-05,4.5551194736373665e-06
19,edit,0.75,population_P,10.0,0.009747841468571725,256,0.792898697422753,0.7920749259987957,-0.0008237714239571746,4.5530179336783426e-05
20,edit,0.75,sampled_Q,1.0,0.018550369857698753,256,0.792898697422753,0.7928004232976749,-9.827412507804124e-05,8.28591752967131e-06
21,edit,0.75,sampled_Q,10.0,0.018550369857698753,256,0.792898697422753,0.7919358597268379,-0.0009628376959150318,8.244189180806494e-05
22,edit,0.75,oracle_ipw,1.0,0.014187170435364476,256,0.792898697422753,0.7928125856791587,-8.611174359426696e-05,5.7323644408641745e-06
