n,alpha,method,repetitions,mse_full,mse_full_mcse,ci_low,ci_high,exact_mse_full,mse_own,bias_own_0,bias_own_1,mcse_mean_0,mcse_mean_1
256,0.5,oracle_ipw,10000,0.2921105999334358,0.001370559126139319,0.28942430404620273,0.29479689582066887,0.2923312717013889,0.026284422633088677,-5.040147569790321e-05,-0.0006031032986109491,0.0014147671018108331,0.0007918980681900705
256,0.5,self_normalized,10000,0.2897580437506218,0.0016255929097898348,0.28657188164743375,0.29294420585380987,,0.030739762389335186,0.005251438912013295,0.005421118906757616,0.0015145294079035266,0.0008802199475656462
256,0.5,population_clipped,10000,0.08228207508814246,0.0004423542940125449,0.08141506067187787,0.08314908950440705,0.08258599175347213,0.19176137816353936,0.30017505425347046,0.2997169952876997,0.0009383693440763327,0.0005497135768923787
256,0.75,unweighted,10000,0.3531209240045547,0.0007445331759191235,0.3516616389797532,0.35458020902935616,0.3527395019531251,0.6369094176568982,0.5603871191406169,0.5600094726562483,0.0008706276501869842,0.00041061982926870517
256,0.75,oracle_ipw,10000,0.09604992034140927,0.0007728772984983766,0.09453508083635245,0.09756475984646609,0.09654744466145823,0.029618050495489153,9.247504339682244e-05,-0.0005748589409712845,0.0015358924237229106,0.000776596302844275
256,0.75,self_normalized,10000,0.09526629379044585,0.0008757962469805933,0.09354973314636389,0.09698285443452781,,0.03215758290921164,0.005242468908223996,0.005410437317209665,0.0015484015249339778,0.0009015855021303213
256,0.75,population_clipped,10000,0.07139683685691395,0.0002911392566394745,0.07082620391390058,0.07196746979992731,0.07167842112430917,0.19258301888506377,0.30025032009548314,0.2997381758432542,0.0009788815200191634,0.0005485397809048652
256,1,unweighted,10000,0.6374923979034423,0.0011907717079883173,0.6351584853557851,0.6398263104510994,0.6368789062500001,0.6374923979034423,0.5604037890624953,0.5600245312499992,0.0008931165229499494,0.0004285937027158304
256,1,oracle_ipw,10000,0.03393025955859526,0.0004294342798103667,0.03308856837016694,0.03477195074702358,0.034559461805555566,0.03393025955859526,0.0002353515624999858,-0.0005466145833342706,0.0016750802465526535,0.0007664437609307447
256,1,self_normalized,10000,0.03363426445479909,0.00038820089483905204,0.03287339070091455,0.03439513820868363,,0.03363426445479909,0.005233498904449796,0.005399755727660882,0.001582492377687246,0.0009240267547687459
256,1,population_clipped,10000,0.19363125399164013,0.0006666103932320565,0.19232469762090532,0.19493781036237495,0.19381255757511365,0.19363125399164013,0.30032558593750647,0.29975935639881013,0.0010275877140708592,0.000549737912236124
