split,mechanism,n,pi_min,pi_max,pi_mean,numerator_alpha2,numerator_alpha1,numerator_alpha0,denominator_alpha2,denominator_alpha1,denominator_alpha0,denominator_P_alpha2,denominator_P_alpha1,denominator_P_alpha0,b_U_norm,b_E_norm,b_U_dot_b_E,mu_U_dot_mu_E,Q_U_dot_Q_E,b_U_relative,b_E_relative,derivative_alpha2,derivative_alpha1,derivative_alpha0,derivative_P_alpha2,derivative_P_alpha1,derivative_P_alpha0,rho_Q_0,rho_Q_1,rho_P_0,rho_P_1
diagnostic,edit,256,0.1,0.7666666666666667,0.2309790891072675,1.0215491481363582e-05,-2.6799277513745393e-06,2.3383510594737643e-05,0.0001273181432745159,-2.851290935263008e-05,9.422779781836842e-05,0.00013319102717645218,-1.204767168036053e-05,2.913621426992241e-05,0.003196168249852248,0.004835649966109793,-1.3399638756872696e-06,-6.023835840180265e-06,-1.425645467631504e-05,0.2769441200695421,0.8958561826894484,4.9930042814170264e-11,-4.029123772481551e-09,4.1420822760966463e-10,2.338694425432664e-10,-5.633666092861965e-09,2.0363390918767118e-10,0.4981559658410645,0.40021874500876126,0.8958561826894484,0.45358978976890924
diagnostic,length,256,0.225,0.6375,0.371728515625,1.5423585636673946e-06,-1.5357692276427559e-07,8.982271269433552e-07,0.00012429837871597065,-9.617218199197119e-06,2.750026525889924e-05,0.00013319102717645218,-1.204767168036053e-05,2.913621426992241e-05,0.001241917293408621,0.0009477484513009532,-7.678846138213779e-08,-6.023835840180265e-06,-4.808609099598559e-06,0.10761063408914645,0.17558059737217777,4.256163659597706e-12,-1.3846581194515043e-10,4.415040158589116e-12,1.8732385051153117e-12,-1.49394608166552e-10,6.3468953912318044e-12,0.18072766683879293,0.12682722271987287,0.17558059737217777,0.12336272192677779
diagnostic,edit_length,256,0.1625,0.5636029411764707,0.30135380236613374,2.3676016421242765e-06,-3.591330028883109e-07,3.1645074034821797e-06,0.00012295704904218119,-1.6096090374600815e-05,4.672175617989551e-05,0.00013319102717645218,-1.204767168036053e-05,2.913621426992241e-05,0.0015387012842407964,0.0017789062379682016,-1.7956650144415546e-07,-6.023835840180265e-06,-8.048045187300407e-06,0.13332660858314987,0.32956151972900205,6.048804246118197e-12,-5.569599706997063e-10,3.415687256044116e-11,1.9309206293462165e-11,-7.050020856530521e-10,2.7661170103668997e-11,0.2602516422434027,0.18352661878287096,0.32956151972900205,0.18553261338117724
reporting,edit,256,0.1,0.7666666666666667,0.23900461747755158,9.537239014830638e-06,-1.3598583972208717e-06,1.4307275984013961e-05,0.00012804358655480028,-1.1001776564019698e-05,6.932314127478884e-05,0.00013271537946129826,-4.080621939013791e-06,2.5752225936129977e-05,0.0030882420589763747,0.0037824959992066036,-6.799291986104359e-07,-2.0403109695068955e-06,-5.500888282009849e-06,0.2680715384758307,0.7453685948410057,6.919457370800462e-11,-2.3416071264519494e-09,6.313579783163626e-11,1.4155625643926466e-10,-3.30638085471828e-09,2.3363203581517023e-11,0.45429646805548135,0.3473449663410727,0.7453685948410057,0.3816258536231027
reporting,length,256,0.21250000000000002,0.7875,0.3767578125,1.994691702418815e-06,-4.6496963896562325e-07,1.050688534708113e-06,0.00013104826153658534,-4.028841818459064e-06,2.3845499248227323e-05,0.00013271537946129826,-4.080621939013791e-06,2.5752225936129977e-05,0.001412335548805175,0.0010250309920720021,-2.3248481948281162e-07,-2.0403109695068955e-06,-2.014420909229532e-06,0.12259627198322742,0.2019898792726941,5.2897165508100426e-11,-1.8025297279889456e-10,-6.854375269595775e-12,5.3569039350846553e-11,-1.7614955237161922e-10,-7.686540510283334e-12,0.20991031811407165,0.13078269321180863,0.2019898792726941,0.12928229934623045
reporting,edit_length,256,0.1625,0.5425595238095239,0.30788121498877574,2.4547611918988817e-06,-6.227025032255217e-07,1.9214440272280764e-06,0.0001274144878372777,-6.545732996843186e-06,3.722267028195054e-05,0.00013271537946129826,-4.080621939013791e-06,2.5752225936129977e-05,0.0015667677530185773,0.0013861616165613865,-3.1135125161276087e-07,-2.0403109695068955e-06,-3.272866498421593e-06,0.136001593775724,0.2731533190188744,6.327310919028799e-11,-3.068940803405632e-10,-1.060139039069476e-11,7.262524663237321e-11,-3.8357921670839106e-10,-8.195288901963442e-12,0.22720093076067885,0.1540863650041478,0.2731533190188744,0.15592402116240892
