budget,method,groups,coefficient_mse,coefficient_mse_se,gradient_mse,gradient_mse_se,coefficient_bias_sq,coefficient_bias_sq_se,gradient_bias_sq,gradient_bias_sq_se,expected_label_reveals,expected_label_reveals_se,full_group_probability,full_group_probability_se,gradient_mse_ratio_to_whole,ratio_bootstrap_low,ratio_bootstrap_high
0.25,full,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
0.25,ht_then_normalize,49,6.963243822650744,0.2707111949370681,0.000403014449666224,2.9185428225965304e-05,2.781674803661405,0.19283254830732463,6.867478092907854e-05,1.0367038281745787e-05,2.0,0.0,1.52587890625e-05,0.0,0.7696542917610143,0.5504367412568532,1.1878293175020815
0.25,partial_then_normalize,49,6.672056838609939,0.33992320644732316,0.00040404328618303347,3.339860717658497e-05,3.862543596206085,0.3063076763746457,0.000196717251613391,2.317528532140971e-05,2.0,0.0,1.52587890625e-05,0.0,0.7716191057803098,0.536870821961315,1.219366646879407
0.25,proxy_completion,49,2.5810092225074586,0.35858746983302214,0.00017454349482202947,3.55414482251756e-05,2.5810092225074586,0.35858746983302214,0.00017454349482202947,3.55414482251756e-05,0.0,0.0,0.0,0.0,0.3333333333333334,0.3333333333333332,0.3333333333333334
0.25,rr_fixed,49,12.327265301287197,2.633265142233878,0.0007793170751160723,0.0001737517662263929,4.34157920959977e-32,1.0783278504898936e-32,2.663409664812425e-36,6.367124629996189e-37,1.9999999999999998,3.2049378106392736e-17,0.09198423127463862,0.0,1.4882958464702276,1.123906469430809,1.9956735129082115
0.25,rr_model_coefficient,49,7.074876300668938,1.4118708815092593,0.0004353708231756209,9.948271049901655e-05,3.3760106427792183e-32,7.122659032050818e-33,1.8738793801083953e-36,5.619126516489892e-37,2.0,4.145992317016792e-17,0.11886455441600526,0.00670735431392297,0.8314466710614452,0.6844658644257309,0.992028523069189
0.25,rr_model_gradient,49,9.464055366970788,2.553568269321725,0.0004692283033019224,0.00010502941632576103,4.525375436502545e-32,9.560005989684044e-33,2.6659102040478714e-36,5.9696254852851855e-37,2.0,4.0176021645951575e-17,0.11646588365425958,0.0073331575690363734,0.8961057792125372,0.6905513960239547,1.2006125024473262
0.25,whole_group_cv,49,7.7430276675223775,1.0757624094990665,0.0005236304844660883,0.00010662434467552678,3.838913905602379e-32,1.1388050633489935e-32,2.2460740286396165e-36,6.257855492266711e-37,2.0,0.0,0.25,0.0,1.0,1.0,1.0
0.5,full,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5,ht_then_normalize,49,6.069832491682658,0.3325755627561052,0.0003381740720096594,2.8526324524841757e-05,2.383921068909369,0.21624245561764618,1.9776838246542066e-05,4.958159746766537e-06,4.0,0.0,0.00390625,0.0,1.9374773740750026,1.3058451877256547,3.154804042573217
