horizon,method,update,seeds,reference_success_mean,reference_success_seed_se,cheap_success_mean,mean_purchased_queries
12,whole_group_residual,225,10,0.917578125,0.005777788471961924,0.96875,776.8
12,whole_group_residual,250,10,0.926171875,0.005382819429321455,0.972265625,875.2
12,whole_group_residual,275,10,0.933203125,0.006283816933340445,0.97578125,973.2
12,whole_group_residual,300,10,0.934765625,0.007085295760631662,0.976171875,1072.4
24,full,0,10,0.185546875,0.004983765419011623,0.72421875,0.0
24,full,25,10,0.2984375,0.009695057535930356,0.766796875,154.3
24,full,50,10,0.407421875,0.014639609608450876,0.80390625,310.0
24,full,75,10,0.49375,0.011936631912881083,0.82421875,475.0
24,full,100,10,0.566796875,0.010744357419727213,0.85,645.1
24,full,125,10,0.632421875,0.00985548930737826,0.866796875,820.2
24,full,150,10,0.683203125,0.01044024025281307,0.888671875,999.6
24,full,175,10,0.725,0.008093890764541693,0.903125,1181.8
24,full,200,10,0.75703125,0.005669672150280531,0.9171875,1366.7
24,full,225,10,0.7796875,0.006330857177678759,0.923046875,1551.2
24,full,250,10,0.80078125,0.007636915780528739,0.930859375,1736.6
24,full,275,10,0.8171875,0.009313309761587325,0.935546875,1924.5
24,full,300,10,0.834375,0.010288930346426256,0.941015625,2113.5
24,naive_reward_ht,0,10,0.185546875,0.004983765419011623,0.72421875,0.0
24,naive_reward_ht,25,10,0.24609375,0.006135009890307159,0.747265625,75.7
24,naive_reward_ht,50,10,0.315625,0.011182765913324944,0.7625,150.4
24,naive_reward_ht,75,10,0.373046875,0.011664370356229765,0.77734375,228.4
24,naive_reward_ht,100,10,0.4171875,0.014934844748895485,0.788671875,305.9
24,naive_reward_ht,125,10,0.47265625,0.013265922528072946,0.8140625,387.8
24,naive_reward_ht,150,10,0.509375,0.012203515118604147,0.8234375,467.5
24,naive_reward_ht,175,10,0.544140625,0.012019435261348018,0.843359375,553.5
24,naive_reward_ht,200,10,0.584375,0.011736098270045571,0.849609375,637.9
24,naive_reward_ht,225,10,0.61171875,0.013819269959814166,0.854296875,723.6
24,naive_reward_ht,250,10,0.64375,0.01218404954717665,0.871875,808.5
24,naive_reward_ht,275,10,0.670703125,0.011977043516559895,0.877734375,900.2
24,naive_reward_ht,300,10,0.6890625,0.010724614730194792,0.88515625,988.0
24,partial_replacement,0,10,0.185546875,0.004983765419011623,0.72421875,0.0
24,partial_replacement,25,10,0.246875,0.0069585360499413475,0.7734375,76.9
24,partial_replacement,50,10,0.322265625,0.01072540513552661,0.8140625,155.5
24,partial_replacement,75,10,0.39140625,0.017281937523996933,0.839453125,239.1
24,partial_replacement,100,10,0.444921875,0.01788599982668979,0.8609375,321.8
24,partial_replacement,125,10,0.505078125,0.014012376915221633,0.876171875,409.0
24,partial_replacement,150,10,0.553515625,0.010449979285017346,0.886328125,495.5
24,partial_replacement,175,10,0.605078125,0.010649258713850173,0.89765625,586.9
24,partial_replacement,200,10,0.6484375,0.011425734879416824,0.90859375,677.6
24,partial_replacement,225,10,0.6703125,0.010072437294694642,0.915234375,767.8
24,partial_replacement,250,10,0.704296875,0.008984375,0.926171875,858.6
