horizon,method,seed,shared_query_ceiling,update,actual_queries,actual_training_trajectories,reference_success,comparison,zero_query_proxy
12,naive_reward_ht,8,1076.0,275,1006,2200,0.85546875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,naive_reward_ht,9,1076.0,300,1021,2400,0.84765625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,0,1076.0,275,1003,2200,0.88671875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,1,1076.0,275,996,2200,0.9140625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,2,1076.0,275,1023,2200,0.87890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,3,1076.0,275,989,2200,0.91015625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,4,1076.0,275,1013,2200,0.92578125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,5,1076.0,275,1004,2200,0.91015625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,6,1076.0,275,1030,2200,0.91796875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,7,1076.0,275,1003,2200,0.91796875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,8,1076.0,275,1067,2200,0.890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,partial_replacement,9,1076.0,300,1074,2400,0.90234375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,0,1058.2,150,1022,1200,0.6796875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,1,1058.2,150,999,1200,0.7265625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,2,1058.2,150,1016,1200,0.72265625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,3,1058.2,150,1001,1200,0.67578125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,4,1058.2,150,994,1200,0.66796875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,5,1058.2,150,989,1200,0.71484375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,6,1058.2,150,998,1200,0.65625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,7,1058.2,150,1001,1200,0.69921875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,8,1058.2,150,996,1200,0.62109375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,full,9,1058.2,150,980,1200,0.66796875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,proxy,0,1058.2,300,0,2400,0.12109375,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,1,1058.2,300,0,2400,0.1640625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,2,1058.2,300,0,2400,0.328125,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,3,1058.2,300,0,2400,0.16015625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,4,1058.2,300,0,2400,0.3046875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,5,1058.2,300,0,2400,0.19921875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,6,1058.2,300,0,2400,0.33203125,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,7,1058.2,300,0,2400,0.13671875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,8,1058.2,300,0,2400,0.171875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,proxy,9,1058.2,300,0,2400,0.06640625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
24,whole_group_residual,0,1058.2,275,1045,2200,0.8203125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,1,1058.2,300,1025,2400,0.890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
