method,bootstrap_repetitions,resampling_clusters,resampling_unit,rmse_difference,rmse_difference_lo,rmse_difference_hi,mae_difference,mae_difference_lo,mae_difference_hi
latest,5000,189,known legal entity,0.0,0.0,0.0,0.0,0.0,0.0
equal_history,5000,189,known legal entity,0.0064794609210586385,-0.007698464265475654,0.021797122709267532,0.01532053158488593,0.0017226448565522924,0.029328448294011582
group_centred_equal,5000,189,known legal entity,0.017132808018433532,0.006114741384466144,0.029062350173405724,0.01395133279582901,0.003419177355414583,0.024537300242208907
linear_trend,5000,189,known legal entity,0.08251549524573909,0.07345681440270051,0.0918687222413869,0.08468455474942334,0.07436158221586435,0.09479609112203174
geometric_history,5000,189,known legal entity,0.0,0.0,0.0,0.0,0.0,0.0
group_mean_reversion,5000,189,known legal entity,-0.002628509441950838,-0.006262112072727512,0.0010619441246795518,-0.0006379263573939725,-0.003998796970483075,0.002771320688992307
working_covariance,5000,189,known legal entity,-0.0010173204720915485,-0.008572495897600918,0.005837803864073924,0.001276386811064567,-0.004718371695431518,0.007191381149629803
