selection_year,followup_year,selected_units,baseline_mean,followup_mean,observed_selected_change,corresponding_group_change,group_centred_change,retained_in_next_observed_bottom
2021,2022,36,4.6360049129987795,4.670334744146776,0.0343298311479974,0.018401587214484632,0.015928243933512762,0.75
2022,2023,36,4.6417189664234035,4.874981133804861,0.2332621673814577,0.18029027916127902,0.05297188822017872,0.6944444444444444
2023,2024,36,4.842294564404932,4.879059985699929,0.03676542129499833,0.007421782228549094,0.029343639066449236,0.6388888888888888
2024,2025,36,4.827850966457567,4.803373373818092,-0.024477592639475108,-0.06354270099641063,0.039065108356935524,0.6388888888888888
