ratio,selected,retained_from_raw,overlap_with_raw,changed_members
0.0,36,36,1.0,0
10.0,36,36,1.0,0
30.0,36,36,1.0,0
100.0,36,36,1.0,0
300.0,36,35,0.9722222222222222,1
1000.0,36,35,0.9722222222222222,1
3000.0,36,34,0.9444444444444444,2
