method,bootstrap_repetitions,resampling_clusters,resampling_unit,rmse_difference,rmse_difference_lo,rmse_difference_hi,mae_difference,mae_difference_lo,mae_difference_hi
latest,5000,189,known legal entity,0.0,0.0,0.0,0.0,0.0,0.0
equal_history,5000,189,known legal entity,0.007365991041477116,-0.0068021360008601334,0.022858430345742455,0.016182902882377767,0.002593439377005153,0.030079695997699406
group_centred_equal,5000,189,known legal entity,0.017148595010798157,0.0063273001646701795,0.028876139148294924,0.014424150370784594,0.004141262302328325,0.024856072633255878
linear_trend,5000,189,known legal entity,0.0816870558276431,0.07265390390035628,0.0909358645334809,0.08369629644343302,0.07325790368277947,0.0938051772487851
geometric_history,5000,189,known legal entity,0.0,0.0,0.0,0.0,0.0,0.0
group_mean_reversion,5000,189,known legal entity,-0.002612504706198643,-0.0063140823192049216,0.0011520461120809696,-0.000738174145949011,-0.004131419909057151,0.0026690544782359874
working_covariance,5000,189,known legal entity,-0.0010666244772009892,-0.008766782672367968,0.005801401717934586,0.001253713281086935,-0.004736085259041771,0.007119503353450667
