org_code,org_name,benchmark_group,raw_selected,selected_somewhere_0_3000,selected_everywhere_0_3000,boundary_ties
RJ6,Croydon Health Services NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RJ7,St George's University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RJ8,Cornwall Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,1,1,stable organisation-code order
RJC,South Warwickshire University NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RJE,University Hospitals of North Midlands NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RJN,East Cheshire NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RJR,Countess of Chester Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RJZ,King's College Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RK5,Sherwood Forest Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RK9,University Hospitals Plymouth NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RKB,University Hospitals Coventry and Warwickshire NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RKE,Whittington Health NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RKL,West London NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RL4,The Royal Wolverhampton NHS Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RLQ,Wye Valley NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RLT,George Eliot Hospital NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RLY,North Staffordshire Combined Healthcare NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RMC,Bolton NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RMY,Norfolk and Suffolk NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,1,1,stable organisation-code order
