org_code,org_name,year,benchmark_group,benchmark_group_vintage,is_trust,reporting_unit_type,legal_org_code,result_available,historically_comparable,complete_five_year_history,official_2025_no_history,comparability_reason,burnout_score,burnout_n,n_resp,response_rate,wellbeing_action,wellbeing_action_n,intent_leave,intent_leave_n,thinking_about_leaving_score,thinking_about_leaving_n,work_related_stress,work_related_stress_n,n_eligible,n_eligible_source,n_eligible_from_org_rate,n_eligible_derivation,n_eff,burnout_se,burnout_individual_sd,precision_metadata,release_vintage,weighting,source_file,source_sheet,source_row,source_sha256,source_cells
R0D,University Hospitals Dorset NHS Foundation Trust,2021,Acute&Acute Community Trusts,2025,1,trust,R0D,1,1,1,0,All five official histories available,4.734074079743278,3369.0,3393.0,0.3714692294597626,0.5346251839348163,3342.0,0.3191841969437632,3362.0,6.059851794245995,3361.0,0.5023040935101993,3344.0,,Not directly published in this workbook,9134.000156445069,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,4,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""CBD4"",""burnout_score"":""BTN4"",""intent_leave"":""BWW4"",""intent_leave_n"":""CEE4"",""n_resp"":""CHX4"",""response_rate"":""CHW4"",""thinking_about_leaving_n"":""CAP4"",""thinking_about_leaving_score"":""BUD4"",""wellbeing_action"":""BVI4"",""wellbeing_action_n"":""CCQ4"",""work_related_stress"":""BVJ4"",""work_related_stress_n"":""CCR4""}"
R0D,University Hospitals Dorset NHS Foundation Trust,2022,Acute&Acute Community Trusts,2025,1,trust,R0D,1,1,1,0,All five official histories available,4.705690445528662,4140.0,4167.0,0.4549126637554585,0.5178625294055846,4122.0,0.3451708533059056,4122.0,5.887766384866727,4117.0,0.4851660975710112,4120.0,,Not directly published in this workbook,9160.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,4,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""BKJ4"",""burnout_score"":""BCN4"",""intent_leave"":""BGB4"",""intent_leave_n"":""BNP4"",""n_resp"":""BRJ4"",""response_rate"":""BRI4"",""thinking_about_leaving_n"":""BJV4"",""thinking_about_leaving_score"":""BDD4"",""wellbeing_action"":""BEI4"",""wellbeing_action_n"":""BLW4"",""work_related_stress"":""BEJ4"",""work_related_stress_n"":""BLX4""}"
R0D,University Hospitals Dorset NHS Foundation Trust,2023,Acute&Acute Community Trusts,2025,1,trust,R0D,1,1,1,0,All five official histories available,5.018241535937349,5613.0,5619.0,0.5873314518657886,0.5664802892624325,5537.0,0.2771757800036036,5603.0,6.212152336439997,5604.0,0.4189844880668982,5589.0,,Not directly published in this workbook,9567.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,4,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ATB4"",""burnout_score"":""AKX4"",""intent_leave"":""AOO4"",""intent_leave_n"":""AWK4"",""n_resp"":""BAJ4"",""response_rate"":""BAI4"",""thinking_about_leaving_n"":""ASN4"",""thinking_about_leaving_score"":""ALN4"",""wellbeing_action"":""AMS4"",""wellbeing_action_n"":""AUO4"",""work_related_stress"":""AMT4"",""work_related_stress_n"":""AUP4""}"
R0D,University Hospitals Dorset NHS Foundation Trust,2024,Acute&Acute Community Trusts,2025,1,trust,R0D,1,1,1,0,All five official histories available,5.059526677642916,5681.0,5689.0,0.5765683591770548,0.5887320234662193,5612.0,0.2831372860362287,5670.0,6.13710337511243,5672.0,0.4140525061637877,5649.0,,Not directly published in this workbook,9867.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,4,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ABK4"",""burnout_score"":""TF4"",""intent_leave"":""WX4"",""intent_leave_n"":""AEU4"",""n_resp"":""AIT4"",""response_rate"":""AIS4"",""thinking_about_leaving_n"":""AAW4"",""thinking_about_leaving_score"":""TV4"",""wellbeing_action"":""VA4"",""wellbeing_action_n"":""ACX4"",""work_related_stress"":""VB4"",""work_related_stress_n"":""ACY4""}"
R0D,University Hospitals Dorset NHS Foundation Trust,2025,Acute&Acute Community Trusts,2025,1,trust,R0D,1,1,1,0,All five official histories available,4.99703607359645,5519.0,5539.0,0.5478192068044704,0.5808278974755031,5456.0,0.2795405342649834,5502.0,6.206742911940929,5502.0,0.4354072758538513,5479.0,,Not directly published in this workbook,10111.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,4,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""IQ4"",""burnout_score"":""R4"",""intent_leave"":""DV4"",""intent_leave_n"":""MM4"",""n_resp"":""QT4"",""response_rate"":""QS4"",""thinking_about_leaving_n"":""IC4"",""thinking_about_leaving_score"":""AH4"",""wellbeing_action"":""BM4"",""wellbeing_action_n"":""KD4"",""work_related_stress"":""BO4"",""work_related_stress_n"":""KF4""}"
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,2021,"MH&LD, MH, LD&Community Trusts",2025,1,trust,R1A,1,1,1,0,All five official histories available,5.073321471551341,1792.0,1800.0,0.4104903042316437,0.6352998240456815,1772.0,0.2841680713260093,1794.0,6.304614908121371,1793.0,0.4533323049484518,1788.0,,Not directly published in this workbook,4385.000038841947,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,"MH&LD, MH, LD&Community Trusts",3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""CBD3"",""burnout_score"":""BTN3"",""intent_leave"":""BWW3"",""intent_leave_n"":""CEE3"",""n_resp"":""CHX3"",""response_rate"":""CHW3"",""thinking_about_leaving_n"":""CAP3"",""thinking_about_leaving_score"":""BUD3"",""wellbeing_action"":""BVI3"",""wellbeing_action_n"":""CCQ3"",""work_related_stress"":""BVJ3"",""work_related_stress_n"":""CCR3""}"
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,2022,"MH&LD, MH, LD&Community Trusts",2025,1,trust,R1A,1,1,1,0,All five official histories available,4.971107170080928,1872.0,1879.0,0.421017252968855,0.6366017583830818,1865.0,0.2953620831344583,1867.0,6.104090988482741,1865.0,0.4385177228667941,1868.0,,Not directly published in this workbook,4463.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,"MH&LD, MH, LD&Community Trusts",3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""BKJ3"",""burnout_score"":""BCN3"",""intent_leave"":""BGB3"",""intent_leave_n"":""BNP3"",""n_resp"":""BRJ3"",""response_rate"":""BRI3"",""thinking_about_leaving_n"":""BJV3"",""thinking_about_leaving_score"":""BDD3"",""wellbeing_action"":""BEI3"",""wellbeing_action_n"":""BLW3"",""work_related_stress"":""BEJ3"",""work_related_stress_n"":""BLX3""}"
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,2023,"MH&LD, MH, LD&Community Trusts",2025,1,trust,R1A,1,1,1,0,All five official histories available,5.18200156003518,1974.0,1986.0,0.4255410327833726,0.6231383873492459,1955.0,0.2764419277417702,1976.0,6.260965778861562,1977.0,0.3859152101575334,1963.0,,Not directly published in this workbook,4667.000000000001,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,"MH&LD, MH, LD&Community Trusts",3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ATB3"",""burnout_score"":""AKX3"",""intent_leave"":""AOO3"",""intent_leave_n"":""AWK3"",""n_resp"":""BAJ3"",""response_rate"":""BAI3"",""thinking_about_leaving_n"":""ASN3"",""thinking_about_leaving_score"":""ALN3"",""wellbeing_action"":""AMS3"",""wellbeing_action_n"":""AUO3"",""work_related_stress"":""AMT3"",""work_related_stress_n"":""AUP3""}"
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,2024,"MH&LD, MH, LD&Community Trusts",2025,1,trust,R1A,1,1,1,0,All five official histories available,5.224936268286767,2502.0,2514.0,0.5181368507831822,0.6396057124858104,2475.0,0.265759654510204,2497.0,6.308231189856406,2498.0,0.3903583241871798,2488.0,,Not directly published in this workbook,4852.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,"MH&LD, MH, LD&Community Trusts",3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ABK3"",""burnout_score"":""TF3"",""intent_leave"":""WX3"",""intent_leave_n"":""AEU3"",""n_resp"":""AIT3"",""response_rate"":""AIS3"",""thinking_about_leaving_n"":""AAW3"",""thinking_about_leaving_score"":""TV3"",""wellbeing_action"":""VA3"",""wellbeing_action_n"":""ACX3"",""work_related_stress"":""VB3"",""work_related_stress_n"":""ACY3""}"
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,2025,"MH&LD, MH, LD&Community Trusts",2025,1,trust,R1A,1,1,1,0,All five official histories available,5.188850693999996,2399.0,2410.0,0.4808459696727853,0.6644944258979065,2369.0,0.2497995425739366,2392.0,6.401568389635602,2393.0,0.3986854613729615,2389.0,,Not directly published in this workbook,5012.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,"MH&LD, MH, LD&Community Trusts",3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""IQ3"",""burnout_score"":""R3"",""intent_leave"":""DV3"",""intent_leave_n"":""MM3"",""n_resp"":""QT3"",""response_rate"":""QS3"",""thinking_about_leaving_n"":""IC3"",""thinking_about_leaving_score"":""AH3"",""wellbeing_action"":""BM3"",""wellbeing_action_n"":""KD3"",""work_related_stress"":""BO3"",""work_related_stress_n"":""KF3""}"
