org_code,org_name,benchmark_group,is_trust,available_years,complete_five_year_history,official_2025_no_history,comparability_reason
RXK,Sandwell and West Birmingham Hospitals NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2025,0,1,OneLSC workforce transfer from RXL to RXR
RXM,Derbyshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXP,County Durham and Darlington NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXQ,Buckinghamshire Healthcare NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXR,East Lancashire Hospitals NHS Trust,Acute&Acute Community Trusts,1,2025,0,1,OneLSC workforce transfer from RXL to RXR
RXT,Birmingham and Solihull Mental Health NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2025,0,1,CAMHS transfer from RQ3 to RXT
RXV,Greater Manchester Mental Health NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXW,The Shrewsbury and Telford Hospital NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXX,Surrey and Borders Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXY,Kent and Medway NHS and Social Care Partnership Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RY2,Bridgewater Community Healthcare NHS Foundation Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RY3,Norfolk Community Health and Care NHS Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RY4,Hertfordshire Community NHS Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RY5,Lincolnshire Community Health Services NHS Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RY6,Leeds Community Healthcare NHS Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RY7,Wirral Community Health and Care NHS Foundation Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RY8,Derbyshire Community Health Services NHS Foundation Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYA,West Midlands Ambulance Service University NHS Foundation Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYC,East of England Ambulance Service NHS Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYD,South East Coast Ambulance Service NHS Foundation Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYE,South Central Ambulance Service NHS Foundation Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYF,South Western Ambulance Service NHS Foundation Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYG,Coventry and Warwickshire Partnership NHS Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYJ,Imperial College Healthcare NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYR,University Hospitals Sussex NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYV,Cambridgeshire Community Services NHS Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYW,Birmingham Community Healthcare NHS Foundation Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYX,Central London Community Healthcare NHS Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RYY,Kent Community Health NHS Foundation Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
TAD,Bradford District Care NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
TAH,Sheffield Health and Social Care NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
TAJ,Black Country Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
