org_code,org_name,benchmark_group,is_trust,available_years,complete_five_year_history,official_2025_no_history,comparability_reason
RA9,Torbay and South Devon NHS Foundation Trust,Acute&Acute Community Trusts,1,2023;2024;2025,0,0,Historical sample-drawing errors; no comparable pre-2023 history
RAE,Bradford Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RAJ,Mid and South Essex NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RAL,Royal Free London NHS Foundation Trust,Acute&Acute Community Trusts,1,2025,0,1,Acquisition of RAP by RAL
RAN,Royal National Orthopaedic Hospital NHS Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RAS,The Hillingdon Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RAT,North East London NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RAX,Kingston and Richmond NHS Foundation Trust,Acute&Acute Community Trusts,1,2025,0,1,Acquisition of RY9 by RAX
RBD,Dorset County Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RBK,Walsall Healthcare NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RBL,Wirral University Teaching Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,Acute&Acute Community Trusts,1,2023;2024;2025,0,0,Merger of RBN and RVY; no comparable pre-2023 history
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RBS,Alder Hey Children's NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RBT,Mid Cheshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RBV,The Christie NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RC9,Bedfordshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RCD,Harrogate and District NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RCF,Airedale NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RCU,Sheffield Children's NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RCX,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RD1,Royal United Hospitals Bath NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RD8,Milton Keynes University Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
