year,state,state_name,n_complete,employed_all,n_mental_missing,finite_file_unweighted_mean,finite_file_variance,finite_file_standard_deviation,finite_file_weighted_ratio,sum_survey_weight,mean_survey_weight,kish_weight_concentration_n,minimum_survey_weight,maximum_survey_weight,observed_strata,observed_psus
2023,36,New York,9374,9547,173,8.605362349761753,6.414111538688189,2.5326096301420375,8.577393781175706,8655223.4880119,923.3223264360893,4167.639053263317,20.4887186,15301.7667,58,9374
2023,37,North Carolina,2148,2173,25,8.502327746741155,7.254960441309572,2.6935033768884664,8.482027570759923,4802332.6714358,2235.722845174954,1159.5259126876265,4.91645697,23955.4125,34,2148
2023,38,North Dakota,3040,3082,42,8.85734649122807,5.521133894563712,2.3497093212914044,8.61700334621225,370942.23002982,122.02047040454605,2025.1073312484623,5.78413705,850.343272,4,3040
2023,39,Ohio,6239,6309,70,8.524763583907678,7.02882079102022,2.6511923338415526,8.337771435937004,5028901.841471,806.0429301924987,3206.669297994568,19.3075515,8692.58842,53,6239
2023,40,Oklahoma,3337,3425,88,8.520727200079913,7.52483425957947,2.7431431350878266,8.379332657883676,1674281.2442064,501.7324675476176,2334.0031609998196,50.3723756,3866.86578,25,3337
2023,41,Oregon,3261,3298,37,8.311356434631504,7.5270307301896935,2.7435434624203956,8.235847390582432,1930530.2409582,592.0055936701012,2026.8148750871778,17.8964146,5563.54807,5,3261
2023,44,Rhode Island,2932,2978,46,8.711914506593907,6.226844553551874,2.4953646133484932,8.487130110043418,479560.3546538,163.56083037305595,1544.5740650100543,11.3599163,1442.43973,17,2932
2023,45,South Carolina,4179,4230,51,8.676716917922947,6.860338757412063,2.6192248390338815,8.39405034009051,2151715.3423019,514.8876148126107,2308.6572413772956,14.7877937,4777.08502,54,4179
2023,46,South Dakota,3104,3150,46,8.709407216494846,6.508410931540133,2.5511587429127442,8.468442914482496,429994.84425493,138.52926683470682,614.9110504200828,1.15634763,3174.10963,38,3104
2023,48,Texas,5076,5122,46,8.527974783293931,7.153034940612694,2.674515832933635,8.406411583961194,13534060.3890143,2666.28455260329,1596.545560840184,13.3866062,69785.8209,75,5076
2023,49,Utah,6138,6202,64,8.44938633648311,7.270210785214271,2.6963328402135875,8.331830295062943,1547395.2103053,252.1008814443304,3643.3644226810497,5.42656809,2421.10009,52,6138
2023,50,Vermont,4124,4173,49,8.64322664080181,6.3288502849848465,2.515720629359478,8.353634721723575,310649.2583462,75.32717224689621,2170.8982487318567,4.54697149,1554.61908,48,4124
2023,51,Virginia,3039,3088,49,8.590216079850828,6.73361638780915,2.5949212681330334,8.465251966528092,3873266.2936159,1274.5200044803883,1572.0980469358667,14.3474786,14714.7006,91,3039
