experiment,n,slices,scenario,gate,trials,events,rate,lower_95,upper_95
calibration,512,32,all_safe,exact_iut,20000,4787,0.23935,0.2334497504543786,0.24532610651309925
calibration,512,32,all_safe,simultaneous_exact,20000,0,0.0,0.0,0.0001844269639618992
calibration,512,32,all_safe,hoeffding_iut,20000,30,0.0015,0.0010122654354229837,0.0021406565042675686
calibration,2048,1,one_harmful,point,20000,6526,0.3263,0.3198027031000393,0.3328478235535634
calibration,2048,1,one_harmful,no_detected_harm,20000,17698,0.8849,0.8803959397855182,0.8892918333209079
calibration,2048,1,one_harmful,exact_iut,20000,334,0.0167,0.014969558782665359,0.01857290494368129
calibration,2048,1,one_harmful,simultaneous_exact,20000,334,0.0167,0.014969558782665359,0.01857290494368129
calibration,2048,1,one_harmful,hoeffding_iut,20000,40,0.002,0.0014292019121327326,0.0027224470060716096
calibration,2048,1,all_safe,point,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,exact_iut,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,simultaneous_exact,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,hoeffding_iut,20000,19999,0.99995,0.9997214496678255,0.9999987341104021
calibration,2048,8,one_harmful,point,20000,6513,0.32565,0.3191561417450184,0.3321945741156803
calibration,2048,8,one_harmful,no_detected_harm,20000,19628,0.9814,0.9794309997905749,0.9832272285008679
calibration,2048,8,one_harmful,exact_iut,20000,329,0.01645,0.014732716672719854,0.018309839876401588
calibration,2048,8,one_harmful,simultaneous_exact,20000,24,0.0012,0.0007690092283363044,0.001784982122860909
calibration,2048,8,one_harmful,hoeffding_iut,20000,38,0.0019,0.0013448931073581564,0.0026069751820933735
calibration,2048,8,all_safe,point,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,8,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,8,all_safe,exact_iut,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,8,all_safe,simultaneous_exact,20000,19998,0.9999,0.9996388127969551,0.9999878893066346
calibration,2048,8,all_safe,hoeffding_iut,20000,19998,0.9999,0.9996388127969551,0.9999878893066346
calibration,2048,32,one_harmful,point,20000,6582,0.3291,0.3225880525545987,0.33566165907206713
calibration,2048,32,one_harmful,no_detected_harm,20000,19870,0.9935,0.9922864846206897,0.9945664938139228
calibration,2048,32,one_harmful,exact_iut,20000,315,0.01575,0.01407012670368256,0.017572692259562785
calibration,2048,32,one_harmful,simultaneous_exact,20000,7,0.00035,0.00014072936111137783,0.0007209999554352942
calibration,2048,32,one_harmful,hoeffding_iut,20000,36,0.0018,0.0012610064965594633,0.002491096387546693
calibration,2048,32,all_safe,point,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,32,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,32,all_safe,exact_iut,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,32,all_safe,simultaneous_exact,20000,19948,0.9974,0.9965918265106297,0.9980576046240262
calibration,2048,32,all_safe,hoeffding_iut,20000,19993,0.99965,0.9992790000445647,0.9998592706388886
