seed,policy,coeff0,coeff1,utility,min_margin,feasible
1701,scalar,0.0,0.0,0.9546143286143286,0.03,True
1701,scalar,0.008333333333333333,0.008333333333333333,0.9557571857571858,0.03,True
1701,scalar,0.016666666666666666,0.016666666666666666,0.9557571857571858,0.03,True
1701,scalar,0.025,0.025,0.9557571857571858,0.03,True
1701,scalar,0.03333333333333333,0.03333333333333333,0.9546143286143286,0.03,True
1701,scalar,0.041666666666666664,0.041666666666666664,0.9546143286143286,0.03,True
1701,scalar,0.05,0.05,0.9512492492492493,-0.02555555555555558,False
1701,scalar,0.058333333333333334,0.058333333333333334,0.9501063921063921,-0.027142857142857163,False
1701,scalar,0.06666666666666667,0.06666666666666667,0.9501063921063921,-0.027142857142857163,False
1701,scalar,0.075,0.075,0.9489952809952811,-0.027142857142857163,False
1701,scalar,0.08333333333333333,0.08333333333333333,0.9522968682968683,-0.055714285714285744,False
1701,scalar,0.09166666666666666,0.09166666666666666,0.9522968682968683,-0.055714285714285744,False
1701,scalar,0.1,0.1,0.9567413127413128,-0.055714285714285744,False
1701,scalar,0.10833333333333334,0.10833333333333334,0.9567413127413128,-0.055714285714285744,False
1701,scalar,0.11666666666666667,0.11666666666666667,0.9567413127413128,-0.055714285714285744,False
1701,scalar,0.125,0.125,0.9610656370656371,-0.055714285714285744,False
1701,scalar,0.13333333333333333,0.13333333333333333,0.9688502788502789,-0.055714285714285744,False
1701,scalar,0.14166666666666666,0.14166666666666666,0.9688502788502789,-0.055714285714285744,False
1701,scalar,0.15,0.15,0.9688502788502789,-0.055714285714285744,False
1701,scalar,0.15833333333333333,0.15833333333333333,0.9677391677391678,-0.055714285714285744,False
1701,scalar,0.16666666666666666,0.16666666666666666,0.9665963105963107,-0.08428571428571421,False
1701,scalar,0.175,0.175,0.9665963105963107,-0.08428571428571421,False
1701,scalar,0.18333333333333332,0.18333333333333332,0.970920634920635,-0.08428571428571421,False
1701,scalar,0.19166666666666665,0.19166666666666665,0.970920634920635,-0.08428571428571421,False
1701,scalar,0.2,0.2,0.970920634920635,-0.08428571428571421,False
1701,scalar,0.20833333333333334,0.20833333333333334,0.9698095238095238,-0.08428571428571421,False
1701,scalar,0.21666666666666667,0.21666666666666667,0.9698095238095238,-0.08428571428571421,False
1701,scalar,0.225,0.225,0.9686666666666667,-0.1128571428571428,False
1701,scalar,0.23333333333333334,0.23333333333333334,0.9686666666666667,-0.1128571428571428,False
1701,scalar,0.24166666666666667,0.24166666666666667,0.9686666666666667,-0.1128571428571428,False
1701,scalar,0.25,0.25,0.9675555555555556,-0.1128571428571428,False
1701,scalar,0.2583333333333333,0.2583333333333333,0.9664444444444444,-0.1128571428571428,False
1701,scalar,0.26666666666666666,0.26666666666666666,0.9664444444444444,-0.1128571428571428,False
1701,scalar,0.275,0.275,0.9653333333333334,-0.1128571428571428,False
1701,scalar,0.2833333333333333,0.2833333333333333,0.9653333333333334,-0.1128571428571428,False
1701,scalar,0.2916666666666667,0.2916666666666667,0.9653333333333334,-0.1128571428571428,False
1701,scalar,0.3,0.3,0.9653333333333334,-0.1128571428571428,False
1701,scalar,0.30833333333333335,0.30833333333333335,0.9653333333333334,-0.1128571428571428,False
1701,scalar,0.31666666666666665,0.31666666666666665,0.9630476190476192,-0.16999999999999996,False
1701,scalar,0.325,0.325,0.9630476190476192,-0.16999999999999996,False
1701,scalar,0.3333333333333333,0.3333333333333333,0.9630476190476192,-0.16999999999999996,False
1701,scalar,0.3416666666666667,0.3416666666666667,0.9630476190476192,-0.16999999999999996,False
1701,scalar,0.35,0.35,0.960793650793651,-0.19857142857142854,False
1701,scalar,0.35833333333333334,0.35833333333333334,0.9596507936507936,-0.22714285714285712,False
1701,scalar,0.36666666666666664,0.36666666666666664,0.9585396825396826,-0.22714285714285712,False
1701,scalar,0.375,0.375,0.9585396825396826,-0.22714285714285712,False
1701,scalar,0.3833333333333333,0.3833333333333333,0.9585396825396826,-0.22714285714285712,False
1701,scalar,0.39166666666666666,0.39166666666666666,0.9585396825396826,-0.22714285714285712,False
1701,scalar,0.4,0.4,0.9573968253968255,-0.25571428571428567,False
1701,scalar,0.4083333333333333,0.4083333333333333,0.9573968253968255,-0.25571428571428567,False
1701,scalar,0.4166666666666667,0.4166666666666667,0.9562539682539682,-0.28428571428571425,False
1701,scalar,0.425,0.425,0.9551111111111111,-0.31285714285714283,False
1701,scalar,0.43333333333333335,0.43333333333333335,0.9551111111111111,-0.31285714285714283,False
1701,scalar,0.44166666666666665,0.44166666666666665,0.9551111111111111,-0.31285714285714283,False
1701,scalar,0.45,0.45,0.9551111111111111,-0.31285714285714283,False
1701,scalar,0.4583333333333333,0.4583333333333333,0.9528253968253969,-0.37,False
1701,scalar,0.4666666666666667,0.4666666666666667,0.9517142857142857,-0.37,False
1701,scalar,0.475,0.475,0.9517142857142857,-0.37,False
1701,scalar,0.48333333333333334,0.48333333333333334,0.9494603174603176,-0.3985714285714286,False
1701,scalar,0.49166666666666664,0.49166666666666664,0.9483492063492065,-0.3985714285714286,False
1701,scalar,0.5,0.5,0.9483492063492065,-0.3985714285714286,False
1701,scalar,0.5083333333333333,0.5083333333333333,0.9483492063492065,-0.3985714285714286,False
1701,scalar,0.5166666666666666,0.5166666666666666,0.9483492063492065,-0.3985714285714286,False
1701,scalar,0.525,0.525,0.9472380952380953,-0.3985714285714286,False
1701,scalar,0.5333333333333333,0.5333333333333333,0.9460952380952381,-0.42714285714285716,False
1701,scalar,0.5416666666666666,0.5416666666666666,0.9460952380952381,-0.42714285714285716,False
1701,scalar,0.55,0.55,0.944952380952381,-0.45571428571428574,False
1701,scalar,0.5583333333333333,0.5583333333333333,0.9438095238095239,-0.4842857142857142,False
1701,scalar,0.5666666666666667,0.5666666666666667,0.9426666666666667,-0.5128571428571428,False
1701,scalar,0.575,0.575,0.9403809523809524,-0.57,False
1701,scalar,0.5833333333333334,0.5833333333333334,0.9403809523809524,-0.57,False
1701,scalar,0.5916666666666667,0.5916666666666667,0.9403809523809524,-0.57,False
1701,scalar,0.6,0.6,0.9403809523809524,-0.57,False
1701,scalar,0.6083333333333333,0.6083333333333333,0.9392380952380953,-0.5985714285714285,False
1701,scalar,0.6166666666666667,0.6166666666666667,0.9380952380952381,-0.6271428571428571,False
1701,scalar,0.625,0.625,0.935873015873016,-0.6271428571428571,False
1701,scalar,0.6333333333333333,0.6333333333333333,0.9347619047619048,-0.6271428571428571,False
1701,scalar,0.6416666666666666,0.6416666666666666,0.9325396825396826,-0.6271428571428571,False
1701,scalar,0.65,0.65,0.9314285714285715,-0.6271428571428571,False
1701,scalar,0.6583333333333333,0.6583333333333333,0.9314285714285715,-0.6271428571428571,False
1701,scalar,0.6666666666666666,0.6666666666666666,0.9292063492063491,-0.6271428571428571,False
1701,scalar,0.675,0.675,0.928063492063492,-0.6557142857142857,False
1701,scalar,0.6833333333333333,0.6833333333333333,0.926952380952381,-0.6557142857142857,False
1701,scalar,0.6916666666666667,0.6916666666666667,0.9235873015873017,-0.6842857142857143,False
1701,scalar,0.7,0.7,0.9235873015873017,-0.6842857142857143,False
1701,scalar,0.7083333333333334,0.7083333333333334,0.9224444444444444,-0.7128571428571429,False
1701,scalar,0.7166666666666667,0.7166666666666667,0.9224444444444444,-0.7128571428571429,False
1701,scalar,0.725,0.725,0.9224444444444444,-0.7128571428571429,False
1701,scalar,0.7333333333333333,0.7333333333333333,0.9224444444444444,-0.7128571428571429,False
1701,scalar,0.7416666666666667,0.7416666666666667,0.9191111111111112,-0.7128571428571429,False
1701,scalar,0.75,0.75,0.9191111111111112,-0.7128571428571429,False
1701,scalar,0.7583333333333333,0.7583333333333333,0.9157777777777778,-0.7128571428571429,False
1701,scalar,0.7666666666666666,0.7666666666666666,0.9135555555555557,-0.7128571428571429,False
1701,scalar,0.775,0.775,0.9135555555555557,-0.7128571428571429,False
1701,scalar,0.7833333333333333,0.7833333333333333,0.9124444444444445,-0.7128571428571429,False
1701,scalar,0.7916666666666666,0.7916666666666666,0.9101904761904762,-0.7414285714285713,False
1701,scalar,0.8,0.8,0.9068571428571429,-0.7414285714285713,False
1701,scalar,0.8083333333333333,0.8083333333333333,0.9068571428571429,-0.7414285714285713,False
1701,scalar,0.8166666666666667,0.8166666666666667,0.9057460317460317,-0.7414285714285713,False
1701,scalar,0.825,0.825,0.9046349206349207,-0.7414285714285713,False
1701,scalar,0.8333333333333334,0.8333333333333334,0.9012698412698412,-0.77,False
1701,scalar,0.8416666666666667,0.8416666666666667,0.8979365079365079,-0.77,False
1701,scalar,0.85,0.85,0.8946031746031746,-0.77,False
1701,scalar,0.8583333333333333,0.8583333333333333,0.8946031746031746,-0.77,False
1701,scalar,0.8666666666666667,0.8666666666666667,0.8946031746031746,-0.77,False
1701,scalar,0.875,0.875,0.8934920634920636,-0.77,False
1701,scalar,0.8833333333333333,0.8833333333333333,0.8923809523809524,-0.77,False
1701,scalar,0.8916666666666666,0.8916666666666666,0.8912698412698413,-0.77,False
1701,scalar,0.9,0.9,0.8912698412698413,-0.77,False
1701,scalar,0.9083333333333333,0.9083333333333333,0.8901269841269842,-0.7985714285714285,False
1701,scalar,0.9166666666666666,0.9166666666666666,0.889015873015873,-0.7985714285714285,False
1701,scalar,0.9249999999999999,0.9249999999999999,0.889015873015873,-0.7985714285714285,False
1701,scalar,0.9333333333333333,0.9333333333333333,0.8867936507936509,-0.7985714285714285,False
1701,scalar,0.9416666666666667,0.9416666666666667,0.8867936507936509,-0.7985714285714285,False
1701,scalar,0.95,0.95,0.8856825396825397,-0.7985714285714285,False
1701,scalar,0.9583333333333334,0.9583333333333334,0.8834285714285715,-0.8271428571428571,False
1701,scalar,0.9666666666666667,0.9666666666666667,0.8811746031746033,-0.8557142857142856,False
1701,scalar,0.975,0.975,0.8811746031746033,-0.8557142857142856,False
1701,scalar,0.9833333333333333,0.9833333333333333,0.8778412698412699,-0.8557142857142856,False
1701,scalar,0.9916666666666667,0.9916666666666667,0.8745079365079366,-0.8557142857142856,False
1701,scalar,1.0,1.0,0.8745079365079366,-0.8557142857142856,False
1701,layer,0.0,0.0,0.9546143286143286,0.03,True
1701,layer,0.0,0.1,0.9478524238524239,-0.055714285714285744,False
1701,layer,0.0,0.2,0.9642471042471044,-0.08428571428571421,False
1701,layer,0.0,0.30000000000000004,0.960913770913771,-0.08428571428571421,False
1701,layer,0.0,0.4,0.9606666666666667,-0.08428571428571421,False
1701,layer,0.0,0.5,0.9550476190476191,-0.14142857142857138,False
1701,layer,0.0,0.6000000000000001,0.9482222222222223,-0.28428571428571425,False
1701,layer,0.0,0.7000000000000001,0.9391428571428571,-0.3414285714285714,False
1701,layer,0.0,0.8,0.9300317460317461,-0.42714285714285716,False
1701,layer,0.0,0.9,0.9233015873015873,-0.4842857142857142,False
1701,layer,0.0,1.0,0.9177142857142857,-0.5128571428571428,False
1701,layer,0.1,0.0,0.9591857571857572,0.03,True
1701,layer,0.1,0.1,0.9567413127413128,-0.055714285714285744,False
1701,layer,0.1,0.2,0.9631677391677392,-0.055714285714285744,False
1701,layer,0.1,0.30000000000000004,0.9652380952380952,-0.08428571428571421,False
1701,layer,0.1,0.4,0.9607619047619048,-0.1128571428571428,False
1701,layer,0.1,0.5,0.9562222222222223,-0.19857142857142854,False
1701,layer,0.1,0.6000000000000001,0.945968253968254,-0.31285714285714283,False
1701,layer,0.1,0.7000000000000001,0.9425714285714286,-0.37,False
1701,layer,0.1,0.8,0.9368888888888889,-0.4842857142857142,False
1701,layer,0.1,0.9,0.919968253968254,-0.4842857142857142,False
1701,layer,0.1,1.0,0.9154603174603175,-0.5414285714285714,False
1701,layer,0.2,0.0,0.9535349635349636,-0.055714285714285744,False
1701,layer,0.2,0.1,0.9602016302016303,-0.055714285714285744,False
1701,layer,0.2,0.2,0.970920634920635,-0.08428571428571421,False
1701,layer,0.2,0.30000000000000004,0.961873015873016,-0.1128571428571428,False
1701,layer,0.2,0.4,0.9585079365079365,-0.14142857142857138,False
1701,layer,0.2,0.5,0.9539365079365079,-0.25571428571428567,False
1701,layer,0.2,0.6000000000000001,0.9505396825396826,-0.31285714285714283,False
1701,layer,0.2,0.7000000000000001,0.9391746031746032,-0.42714285714285716,False
1701,layer,0.2,0.8,0.9324444444444444,-0.4842857142857142,False
1701,layer,0.2,0.9,0.9246031746031745,-0.5414285714285714,False
1701,layer,0.2,1.0,0.9143809523809524,-0.6271428571428571,False
1701,layer,0.30000000000000004,0.0,0.9602016302016303,-0.055714285714285744,False
1701,layer,0.30000000000000004,0.1,0.970920634920635,-0.08428571428571421,False
1701,layer,0.30000000000000004,0.2,0.9675555555555556,-0.1128571428571428,False
1701,layer,0.30000000000000004,0.30000000000000004,0.9653333333333334,-0.1128571428571428,False
1701,layer,0.30000000000000004,0.4,0.9550793650793652,-0.22714285714285712,False
1701,layer,0.30000000000000004,0.5,0.9505396825396826,-0.31285714285714283,False
1701,layer,0.30000000000000004,0.6000000000000001,0.9471428571428571,-0.37,False
1701,layer,0.30000000000000004,0.7000000000000001,0.9392380952380952,-0.4842857142857142,False
1701,layer,0.30000000000000004,0.8,0.9301904761904761,-0.5128571428571428,False
1701,layer,0.30000000000000004,0.9,0.920063492063492,-0.6271428571428571,False
1701,layer,0.30000000000000004,1.0,0.9178412698412699,-0.6271428571428571,False
1701,layer,0.4,0.0,0.9633830973830975,-0.08428571428571421,False
1701,layer,0.4,0.1,0.9686666666666668,-0.1128571428571428,False
1701,layer,0.4,0.2,0.9653333333333334,-0.1128571428571428,False
1701,layer,0.4,0.30000000000000004,0.9630476190476192,-0.16999999999999996,False
1701,layer,0.4,0.4,0.9573968253968255,-0.25571428571428567,False
1701,layer,0.4,0.5,0.9482539682539682,-0.37,False
1701,layer,0.4,0.6000000000000001,0.9426349206349207,-0.42714285714285716,False
1701,layer,0.4,0.7000000000000001,0.9381269841269841,-0.4842857142857142,False
1701,layer,0.4,0.8,0.9302539682539683,-0.57,False
1701,layer,0.4,0.9,0.9224126984126984,-0.6271428571428571,False
1701,layer,0.4,1.0,0.9088571428571428,-0.7128571428571429,False
1701,layer,0.5,0.0,0.9600180180180181,-0.1128571428571428,False
1701,layer,0.5,0.1,0.9621201201201202,-0.1128571428571428,False
1701,layer,0.5,0.2,0.9630793650793652,-0.14142857142857138,False
1701,layer,0.5,0.30000000000000004,0.9596507936507936,-0.22714285714285712,False
1701,layer,0.5,0.4,0.9551111111111111,-0.31285714285714283,False
1701,layer,0.5,0.5,0.9483492063492065,-0.3985714285714286,False
1701,layer,0.5,0.6000000000000001,0.9392380952380952,-0.4842857142857142,False
1701,layer,0.5,0.7000000000000001,0.9324761904761905,-0.57,False
1701,layer,0.5,0.8,0.9212698412698412,-0.6557142857142857,False
1701,layer,0.5,0.9,0.9156825396825397,-0.6842857142857143,False
1701,layer,0.5,1.0,0.9056190476190475,-0.7414285714285713,False
