experiment,n_development,n_certification,slices,family,library_size,trials,gain_mean,gain_lower_95,gain_upper_95,retained_gain_mean,fallback_rate,certification_failure_rate,unsafe_count,unsafe_rate,unsafe_lower_95,unsafe_upper_95,oracle_grid_gain,oracle_lambda1,oracle_lambda2,selected_lambda1_mean,selected_lambda2_mean,deployed_lambda1_mean,deployed_lambda2_mean
utility_selection,128,128,8,scalar,21,4000,0.005750000000000002,0.005750000000000002,0.005750000000000002,0.05000000000000001,0.0,0.0,0,0.0,0.0,0.0009217947494830555,0.017250000000000005,0.15000000000000002,0.15000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
utility_selection,128,128,8,scalar_dense,441,4000,0.006646542613636363,0.00659915344575832,0.006693931781514406,0.05779602272727272,0.04825,0.04825,0,0.0,0.0,0.0009217947494830555,0.019079545454545453,0.1659090909090909,0.1659090909090909,0.060969886363636365,0.060969886363636365,0.057796022727272724,0.057796022727272724
utility_selection,128,128,8,block,441,4000,0.009771218750000001,0.009684805063772369,0.009857632436227634,0.0849671195652174,0.04825,0.04825,0,0.0,0.0,0.0009217947494830555,0.06462500000000002,0.35000000000000003,1.0,0.0002375,0.2776,0.0002375,0.260075
utility_selection,512,512,8,scalar,21,4000,0.005738500000000001,0.005729596300287683,0.00574740369971232,0.04990000000000001,0.00225,0.00225,0,0.0,0.0,0.0009217947494830555,0.017250000000000005,0.15000000000000002,0.15000000000000002,0.05012500000000001,0.05012500000000001,0.04990000000000001,0.04990000000000001
utility_selection,512,512,8,scalar_dense,441,4000,0.009760232954545455,0.009692229772728623,0.009828236136362288,0.08487159090909091,0.047,0.047,0,0.0,0.0,0.0009217947494830555,0.019079545454545453,0.1659090909090909,0.1659090909090909,0.08929829545454546,0.08929829545454546,0.08487159090909091,0.08487159090909091
utility_selection,512,512,8,block,441,4000,0.036483093749999994,0.036250889442796475,0.03671529805720351,0.3172442934782609,0.03525,0.03525,0,0.0,0.0,0.0009217947494830555,0.06462500000000002,0.35000000000000003,1.0,0.015412499999999999,0.9796624999999999,0.013612500000000001,0.94475
utility_selection,2048,2048,8,scalar,21,4000,0.011500000000000003,0.011500000000000003,0.011500000000000003,0.10000000000000002,0.0,0.0,0,0.0,0.0,0.0009217947494830555,0.017250000000000005,0.15000000000000002,0.15000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
utility_selection,2048,2048,8,scalar_dense,441,4000,0.012725534090909091,0.012639956295968886,0.012811111885849297,0.11065681818181815,0.0445,0.0445,0,0.0,0.0,0.0009217947494830555,0.019079545454545453,0.1659090909090909,0.1659090909090909,0.11600738636363636,0.11600738636363636,0.11065681818181818,0.11065681818181818
utility_selection,2048,2048,8,block,441,4000,0.048169093749999996,0.047926994967404324,0.04841119253259567,0.41886168478260843,0.025,0.025,0,0.0,0.0,0.0009217947494830555,0.06462500000000002,0.35000000000000003,1.0,0.1547625,1.0,0.1497625,0.975
