seed,phase,epoch,loss
1701,incumbent,1,1.7259101175758793
1701,incumbent,2,0.753998189312958
1701,incumbent,3,0.3787297278109051
1701,incumbent,4,0.2529107748564781
1701,incumbent,5,0.19874377420880118
1701,incumbent,6,0.14991397928918385
1701,incumbent,7,0.11815498139414303
1701,incumbent,8,0.09816523107095687
1701,incumbent,9,0.09023986106270063
1701,incumbent,10,0.09650896736772312
1701,incumbent,11,0.08256308368502821
1701,incumbent,12,0.06796722856520003
1701,continuation,1,0.03670149734825827
1701,continuation,2,0.026955950979046846
1701,continuation,3,0.0224567584863039
1701,continuation,4,0.01940318423171772
1701,continuation,5,0.01700203690217466
1701,continuation,6,0.01475537563362989
1701,continuation,7,0.013048228423584062
1701,continuation,8,0.011431146700205945
1701,continuation,9,0.010042088398745246
1701,continuation,10,0.009012213615154965
1701,continuation,11,0.008258598282439047
1701,continuation,12,0.0076861945815755945
1701,continuation,13,0.007143529428513923
1701,continuation,14,0.006690377000529425
1701,continuation,15,0.006193928708156446
1701,continuation,16,0.005833546075612098
1701,continuation,17,0.005537416231874957
1701,continuation,18,0.005214205129193484
1701,continuation,19,0.004999605763430177
1701,continuation,20,0.004752007351459275
1701,continuation,21,0.004557918412588896
1701,continuation,22,0.004375314829564924
1701,continuation,23,0.004210036830874388
1701,continuation,24,0.004059620133498712
1702,incumbent,1,1.7395917075914886
1702,incumbent,2,0.8491500092106915
1702,incumbent,3,0.43949261294186465
1702,incumbent,4,0.29242707796369954
1702,incumbent,5,0.20609680972452152
1702,incumbent,6,0.15204599255271853
1702,incumbent,7,0.13478474712533323
1702,incumbent,8,0.1110745354228157
1702,incumbent,9,0.09232974562250916
1702,incumbent,10,0.08600342075991955
1702,incumbent,11,0.0709762824444404
1702,incumbent,12,0.06677062933247287
1702,continuation,1,0.03717643341397352
1702,continuation,2,0.02974157841220828
1702,continuation,3,0.020645550239396664
1702,continuation,4,0.017372701331627625
1702,continuation,5,0.01566021008270996
1702,continuation,6,0.013515092289340449
1702,continuation,7,0.012279539876420324
1702,continuation,8,0.010566577760927969
1702,continuation,9,0.009647314251880174
1702,continuation,10,0.008192040750028655
1702,continuation,11,0.007866963996426207
1702,continuation,12,0.007396079056813609
1702,continuation,13,0.006427179088517593
1702,continuation,14,0.006313351394649969
1702,continuation,15,0.005924154257878903
1702,continuation,16,0.005460329541113899
1702,continuation,17,0.005205116235336095
1702,continuation,18,0.005024401132829281
1702,continuation,19,0.004784609623321127
1702,continuation,20,0.00455462384180503
1702,continuation,21,0.004392540162495508
1702,continuation,22,0.004238299242724473
1702,continuation,23,0.0040699109885473555
1702,continuation,24,0.003949933690513796
1703,incumbent,1,1.8611139504355951
1703,incumbent,2,1.061386450771048
1703,incumbent,3,0.501854162776495
1703,incumbent,4,0.27985062728804605
1703,incumbent,5,0.20521828518972857
1703,incumbent,6,0.1574727885613733
1703,incumbent,7,0.11946394223338098
1703,incumbent,8,0.09661871778641859
1703,incumbent,9,0.08824595461632795
1703,incumbent,10,0.07467480987211274
1703,incumbent,11,0.06244651356899612
1703,incumbent,12,0.05865111132460258
1703,continuation,1,0.027453415252286444
1703,continuation,2,0.023056622927590215
1703,continuation,3,0.01761856707169543
1703,continuation,4,0.01738749911756486
1703,continuation,5,0.013558420562711062
1703,continuation,6,0.01239350028098115
