path,policy,accuracy_mean,accuracy_seed_sd,accuracy_minimum,weighted_accuracy_mean,weighted_accuracy_seed_sd,weighted_accuracy_minimum,worst_slice_difference_mean,worst_slice_difference_seed_sd,worst_slice_difference_minimum
Selective,incumbent,0.9477777777777778,0.007708020514173116,0.9361111111111111,0.9478601660484014,0.009762074492592816,0.9406297726297728,0.0,0.0,0.0
Selective,updated,0.7300000000000001,0.020165212680979462,0.7111111111111111,0.8812645519469049,0.011299112348129066,0.8639167739167739,-0.9271428571428573,0.04644518763848953,-0.9722222222222222
Selective,scalar,0.9494444444444443,0.00865133972355415,0.9361111111111111,0.9543509425391778,0.012300217608491064,0.94393135993136,-0.02857142857142856,0.049487165930539326,-0.11428571428571421
Selective,layer,0.9483333333333333,0.00891489251993402,0.9361111111111111,0.9545540868599692,0.011519740101487633,0.9437220077220078,-0.045564892623716144,0.04315155118172128,-0.11428571428571421
Selective,released,0.9477777777777778,0.007708020514173116,0.9361111111111111,0.9478601660484014,0.009762074492592816,0.9406297726297728,0.0,0.0,0.0
Balanced,incumbent,0.9477777777777778,0.007708020514173116,0.9361111111111111,0.9478601660484014,0.009762074492592816,0.9406297726297728,0.0,0.0,0.0
Balanced,updated,0.9594444444444445,0.010686324478706322,0.9472222222222222,0.9637188583541525,0.010486306244474058,0.9502368082368081,-0.011428571428571432,0.015649215928719037,-0.02857142857142858
Balanced,scalar,0.9566666666666667,0.010865337342004431,0.9416666666666667,0.9586621444974386,0.01178415903278373,0.9462170742170743,-0.011269841269841253,0.015434416555597099,-0.02857142857142858
Balanced,layer,0.9544444444444444,0.011553685746158586,0.9416666666666667,0.9557792616145557,0.01221870633595968,0.9462170742170743,-0.011269841269841253,0.015434416555597099,-0.02857142857142858
Balanced,released,0.9477777777777778,0.007708020514173116,0.9361111111111111,0.9478601660484014,0.009762074492592816,0.9406297726297728,0.0,0.0,0.0
