seed,policy,accuracy,weighted_accuracy,worst_slice_difference,selected_policy,selected_coeff0,selected_coeff1,certification_passed,reporting_count
1701,incumbent,0.95,0.9463758043758043,0.0,layer,0.1,0.0,False,360
1701,updated,0.7361111111111112,0.8874225654225654,-0.9166666666666666,layer,0.1,0.0,False,360
1701,scalar,0.95,0.9463758043758043,0.0,layer,0.1,0.0,False,360
1701,layer,0.9555555555555556,0.9519013299013298,0.0,layer,0.1,0.0,False,360
1701,released,0.95,0.9463758043758043,0.0,layer,0.1,0.0,False,360
1702,incumbent,0.9527777777777777,0.964688217629394,0.0,scalar,0.025,0.025,False,360
1702,updated,0.7138888888888889,0.8773926868044516,-0.9722222222222222,scalar,0.025,0.025,False,360
1702,scalar,0.9555555555555556,0.9690125419537183,0.0,scalar,0.025,0.025,False,360
1702,layer,0.9527777777777777,0.9678360713654832,-0.02941176470588236,scalar,0.025,0.025,False,360
1702,released,0.9527777777777777,0.964688217629394,0.0,scalar,0.025,0.025,False,360
1703,incumbent,0.9361111111111111,0.9406297726297728,0.0,scalar,0.06666666666666667,0.06666666666666667,False,360
1703,updated,0.7111111111111111,0.8639167739167739,-0.8611111111111112,scalar,0.06666666666666667,0.06666666666666667,False,360
1703,scalar,0.9361111111111111,0.94393135993136,-0.02857142857142858,scalar,0.06666666666666667,0.06666666666666667,False,360
1703,layer,0.9361111111111111,0.94393135993136,-0.02857142857142858,scalar,0.06666666666666667,0.06666666666666667,False,360
1703,released,0.9361111111111111,0.9406297726297728,0.0,scalar,0.06666666666666667,0.06666666666666667,False,360
1704,incumbent,0.9444444444444444,0.9414997854997856,0.0,layer,0.1,0.0,False,360
1704,updated,0.7611111111111111,0.8934534534534533,-0.9714285714285714,layer,0.1,0.0,False,360
1704,scalar,0.9472222222222222,0.94594422994423,0.0,layer,0.1,0.0,False,360
1704,layer,0.9416666666666667,0.9437220077220078,-0.05555555555555558,layer,0.1,0.0,False,360
1704,released,0.9444444444444444,0.9414997854997856,0.0,layer,0.1,0.0,False,360
1705,incumbent,0.9555555555555556,0.94610725010725,0.0,scalar,0.11666666666666667,0.11666666666666667,False,360
1705,updated,0.7277777777777777,0.8841372801372802,-0.9142857142857143,scalar,0.11666666666666667,0.11666666666666667,False,360
1705,scalar,0.9583333333333334,0.9664907764907765,-0.11428571428571421,scalar,0.11666666666666667,0.11666666666666667,False,360
1705,layer,0.9555555555555556,0.9653796653796654,-0.11428571428571421,scalar,0.11666666666666667,0.11666666666666667,False,360
1705,released,0.9555555555555556,0.94610725010725,0.0,scalar,0.11666666666666667,0.11666666666666667,False,360
