seed,slice,n,mean_difference,hoeffding_radius,lower,passed
1701,0,36,0.0,0.4079578051134694,-0.4079578051134694,False
1701,1,37,0.0,0.4024071001438241,-0.4024071001438241,False
1701,2,35,0.0,0.4137447296896268,-0.4137447296896268,False
1701,3,37,0.0,0.4024071001438241,-0.4024071001438241,False
1701,4,37,0.0,0.4024071001438241,-0.4024071001438241,False
1701,5,36,0.0,0.4079578051134694,-0.4079578051134694,False
1701,6,36,0.0,0.4079578051134694,-0.4079578051134694,False
1701,7,36,0.0,0.4079578051134694,-0.4079578051134694,False
1701,8,34,0.0,0.41978511824882014,-0.41978511824882014,False
1701,9,36,0.0,0.4079578051134694,-0.4079578051134694,False
1702,0,35,0.0,0.4137447296896268,-0.4137447296896268,False
1702,1,37,0.05405405405405406,0.4024071001438241,-0.34835304608977,False
1702,2,35,0.0,0.4137447296896268,-0.4137447296896268,False
1702,3,36,0.0,0.4079578051134694,-0.4079578051134694,False
1702,4,37,0.02702702702702703,0.4024071001438241,-0.37538007311679705,False
1702,5,36,-0.027777777777777776,0.4079578051134694,-0.4357355828912472,False
1702,6,37,0.0,0.4024071001438241,-0.4024071001438241,False
1702,7,36,0.0,0.4079578051134694,-0.4079578051134694,False
1702,8,35,0.0,0.4137447296896268,-0.4137447296896268,False
1702,9,36,0.0,0.4079578051134694,-0.4079578051134694,False
1703,0,36,0.0,0.4079578051134694,-0.4079578051134694,False
1703,1,37,0.0,0.4024071001438241,-0.4024071001438241,False
1703,2,36,0.0,0.4079578051134694,-0.4079578051134694,False
1703,3,36,0.0,0.4079578051134694,-0.4079578051134694,False
1703,4,37,0.0,0.4024071001438241,-0.4024071001438241,False
1703,5,36,0.0,0.4079578051134694,-0.4079578051134694,False
1703,6,36,0.0,0.4079578051134694,-0.4079578051134694,False
1703,7,36,0.0,0.4079578051134694,-0.4079578051134694,False
1703,8,34,0.029411764705882353,0.41978511824882014,-0.3903733535429378,False
1703,9,36,0.0,0.4079578051134694,-0.4079578051134694,False
1704,0,36,0.0,0.4079578051134694,-0.4079578051134694,False
1704,1,36,0.0,0.4079578051134694,-0.4079578051134694,False
1704,2,35,0.0,0.4137447296896268,-0.4137447296896268,False
1704,3,37,0.0,0.4024071001438241,-0.4024071001438241,False
1704,4,37,0.02702702702702703,0.4024071001438241,-0.37538007311679705,False
1704,5,36,0.0,0.4079578051134694,-0.4079578051134694,False
1704,6,37,0.0,0.4024071001438241,-0.4024071001438241,False
1704,7,36,0.0,0.4079578051134694,-0.4079578051134694,False
1704,8,34,-0.058823529411764705,0.41978511824882014,-0.47860864766058486,False
1704,9,36,0.027777777777777776,0.4079578051134694,-0.3801800273356916,False
1705,0,36,0.027777777777777776,0.4079578051134694,-0.3801800273356916,False
1705,1,36,0.1388888888888889,0.4079578051134694,-0.2690689162245805,False
1705,2,36,0.027777777777777776,0.4079578051134694,-0.3801800273356916,False
1705,3,37,0.0,0.4024071001438241,-0.4024071001438241,False
1705,4,36,0.0,0.4079578051134694,-0.4079578051134694,False
1705,5,36,0.0,0.4079578051134694,-0.4079578051134694,False
1705,6,37,0.0,0.4024071001438241,-0.4024071001438241,False
1705,7,36,0.027777777777777776,0.4079578051134694,-0.3801800273356916,False
1705,8,34,0.0,0.41978511824882014,-0.41978511824882014,False
1705,9,36,0.0,0.4079578051134694,-0.4079578051134694,False
