seed,policy,accuracy,weighted_accuracy,worst_slice_difference,selected_policy,selected_coeff0,selected_coeff1,certification_passed,reporting_count
1701,incumbent,0.95,0.9463758043758043,0.0,layer,0.0,1.0,False,360
1701,updated,0.9611111111111111,0.9674251394251394,-0.02857142857142858,layer,0.0,1.0,False,360
1701,scalar,0.9583333333333334,0.9629806949806949,-0.02857142857142858,layer,0.0,1.0,False,360
1701,layer,0.9472222222222222,0.9485662805662805,-0.02857142857142858,layer,0.0,1.0,False,360
1701,released,0.95,0.9463758043758043,0.0,layer,0.0,1.0,False,360
1702,incumbent,0.9527777777777777,0.964688217629394,0.0,scalar,0.9166666666666666,0.9166666666666666,False,360
1702,updated,0.9666666666666667,0.9736530648295354,0.0,scalar,0.9166666666666666,0.9166666666666666,False,360
1702,scalar,0.9666666666666667,0.9736530648295354,0.0,scalar,0.9166666666666666,0.9166666666666666,False,360
1702,layer,0.9666666666666667,0.9736530648295354,0.0,scalar,0.9166666666666666,0.9166666666666666,False,360
1702,released,0.9527777777777777,0.964688217629394,0.0,scalar,0.9166666666666666,0.9166666666666666,False,360
1703,incumbent,0.9361111111111111,0.9406297726297728,0.0,scalar,0.5916666666666667,0.5916666666666667,False,360
1703,updated,0.9472222222222222,0.9551059631059631,0.0,scalar,0.5916666666666667,0.5916666666666667,False,360
1703,scalar,0.9416666666666667,0.9462170742170743,0.0,scalar,0.5916666666666667,0.5916666666666667,False,360
1703,layer,0.9416666666666667,0.9462170742170743,0.0,scalar,0.5916666666666667,0.5916666666666667,False,360
1703,released,0.9361111111111111,0.9406297726297728,0.0,scalar,0.5916666666666667,0.5916666666666667,False,360
1704,incumbent,0.9444444444444444,0.9414997854997856,0.0,layer,0.4,0.8,False,360
1704,updated,0.95,0.9502368082368081,-0.02857142857142858,layer,0.4,0.8,False,360
1704,scalar,0.95,0.9470553410553411,-0.02777777777777768,layer,0.4,0.8,False,360
1704,layer,0.95,0.9470553410553411,-0.02777777777777768,layer,0.4,0.8,False,360
1704,released,0.9444444444444444,0.9414997854997856,0.0,layer,0.4,0.8,False,360
1705,incumbent,0.9555555555555556,0.94610725010725,0.0,layer,0.9,0.4,False,360
1705,updated,0.9722222222222222,0.9721733161733161,0.0,layer,0.9,0.4,False,360
1705,scalar,0.9666666666666667,0.9634045474045474,0.0,layer,0.9,0.4,False,360
1705,layer,0.9666666666666667,0.9634045474045474,0.0,layer,0.9,0.4,False,360
1705,released,0.9555555555555556,0.94610725010725,0.0,layer,0.9,0.4,False,360
