analysis_stage,scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,reps,regret_mean,regret_mcse,regret_lo,regret_hi,overlap_mean,overlap_mcse,overlap_lo,overlap_hi,mse_mean,mse_mcse,mse_lo,mse_hi,coverage_mean,coverage_mcse,coverage_lo,coverage_hi,spent_mean,spent_mcse,spent_lo,spent_hi,validation_fraction_mean,validation_fraction_mcse,validation_fraction_lo,validation_fraction_hi,regular_packets_mean,regular_packets_mcse,regular_packets_lo,regular_packets_hi,validation_packets_mean,validation_packets_mcse,validation_packets_lo,validation_packets_hi,posterior_sd_mean,posterior_sd_mcse,posterior_sd_lo,posterior_sd_hi,regret_diff_ordinary_kg_mean,regret_diff_ordinary_kg_mcse,regret_diff_ordinary_kg_lo,regret_diff_ordinary_kg_hi,overlap_diff_ordinary_kg_mean,overlap_diff_ordinary_kg_mcse,overlap_diff_ordinary_kg_lo,overlap_diff_ordinary_kg_hi,regret_diff_uniform_mean,regret_diff_uniform_mcse,regret_diff_uniform_lo,regret_diff_uniform_hi,overlap_diff_uniform_mean,overlap_diff_uniform_mcse,overlap_diff_uniform_lo,overlap_diff_uniform_hi
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,500,0.17938328948016913,0.002085468021374587,0.17529577215827494,0.18347080680206332,0.29,0.006412238416048099,0.2774320127045457,0.30256798729545425,0.021837702678394664,2.3447352363621026e-05,0.021791745867761968,0.02188365948902736,0.9133333333333332,0.000671492221553767,0.9120172085790879,0.9146494580875786,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13829873323045458,1.074768851851673e-07,0.1382985225757596,0.13829894388514954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01940166263954292,0.0016414800883151784,-0.02261896361264067,-0.016184361666445168,0.037777777777777785,0.004656487078976259,0.02865106310298432,0.04690449245257125
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,500,0.19573357516330187,0.0019953890386844404,0.19182261264748035,0.19964453767912338,0.25133333333333335,0.005708983589855008,0.24014372549721755,0.2625229411694492,0.021745310100557115,3.3422892196172844e-05,0.021679801231852616,0.021810818969261615,0.9117916666666668,0.0007618172958759218,0.91029850476675,0.9132848285665836,48.0,0.0,48.0,48.0,0.9375,0.0,0.9375,0.9375,3.0,0.0,3.0,3.0,9.0,0.0,9.0,9.0,0.13760619717933534,1.041219700857805e-06,0.13760415638872164,0.13760823796994903,0.016350285683132754,0.0018474209649109582,0.012729340591907275,0.019971230774358233,-0.03866666666666667,0.005099024365668339,-0.04866075442337661,-0.028672578909956725,-0.0030513769564101656,0.0017188309422881065,-0.006420285603294855,0.00031753169047452285,-0.0008888888888888884,0.004580245479811684,-0.009866170029319788,0.008088392251542011
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,500,0.19717503551722404,0.002052935367026497,0.1931512821978521,0.20119878883659598,0.25577777777777777,0.00576384425460179,0.24448064303875827,0.26707491251679727,0.02182050201439567,3.1029443449924456e-05,0.02175968430523382,0.021881319723557523,0.9115,0.0007636715040578617,0.9100032038520466,0.9129967961479534,48.0,0.0,48.0,48.0,0.4608333333333334,0.005719192979492242,0.44962371509352855,0.4720429515731382,25.88,0.27452126301562757,25.34193832448937,26.41806167551063,4.424,0.054904252603125515,4.316387664897874,4.5316123351021265,0.13796523029058125,4.008453960438022e-06,0.1379573737208188,0.1379730868603437,0.017791746037054915,0.0018598902595620586,0.01414636112831328,0.02143713094579655,-0.03422222222222223,0.005414910876788069,-0.044835447540726846,-0.023608996903717615,-0.0016099166024880075,0.0016634827444845855,-0.004870342781677795,0.00165050957670178,0.0035555555555555557,0.00437876203858171,-0.005026818040064597,0.01213792915117571
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,500,0.19860744377484527,0.001954272265112598,0.19477707013522458,0.20243781741446595,0.2511111111111111,0.0056283364466891165,0.24007957167560046,0.2621426505466218,0.021749148835861938,3.360674692029911e-05,0.021683279611898153,0.021815018059825723,0.91225,0.0007478816666478383,0.9107841519333703,0.9137158480666298,45.0,0.0,45.0,45.0,0.9375,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,9.0,0.0,9.0,9.0,0.1376401804074464,1.1157175183236093e-06,0.1376379936011105,0.1376423672137823,0.019224154294676134,0.0022321652168380084,0.014849110469673639,0.02359919811967863,-0.03888888888888889,0.006155533771073672,-0.05095373508019329,-0.02682404269758449,-0.0001775083448667869,0.0019296773920368018,-0.003959676033258919,0.0036046593435253445,-0.0011111111111111115,0.005352328305828864,-0.011601674590535684,0.009379452368313461
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,uniform,500,0.19878495211971206,0.001977019385817814,0.19490999412350915,0.20265991011591497,0.25222222222222224,0.005682364815622129,0.24108478718360288,0.2633596572608416,0.021925082866958726,2.345652888805584e-05,0.021879108070338136,0.021971057663579315,0.910125,0.0006511080043023061,0.9088488283115674,0.9114011716884325,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1382874039930103,7.421354616544705e-08,0.1382872585344598,0.13828754945156077,0.01940166263954292,0.0016414800883151784,0.016184361666445168,0.02261896361264067,-0.037777777777777785,0.004656487078976259,-0.04690449245257125,-0.02865106310298432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,144,48,9,ordinary_kg,500,0.15929376392201225,0.0020418396556458975,0.1552917581969463,0.1632957696470782,0.3297777777777778,0.006626793847300806,0.3167892618370682,0.3427662937184874,0.021799285899828203,2.3796647272269942e-05,0.021752644471174552,0.021845927328481854,0.9152916666666666,0.0006989386417234578,0.9139217469288886,0.9166615864044446,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.1382853142343044,1.9100174556049484e-07,0.1382849398708831,0.1382856885977257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022180332823214386,0.0016042302375797407,-0.02532462408887068,-0.019036041557558094,0.043555555555555556,0.004543365848724886,0.03465055849205478,0.052460552619056335
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,144,48,9,two_channel_kg,500,0.186678582208404,0.002048243235936291,0.18266402546596888,0.19069313895083911,0.26800000000000007,0.005940266919340426,0.25635707683809283,0.2796429231619073,0.021298087969480635,5.024678775002198e-05,0.02119960426549059,0.021396571673470678,0.909625,0.0008687749746509883,0.9079222010496841,0.9113277989503159,144.0,0.0,144.0,144.0,0.972222222222222,9.940081669675863e-18,0.972222222222222,0.972222222222222,4.0,0.0,4.0,4.0,28.0,0.0,28.0,28.0,0.1362107855663209,2.060861841014854e-06,0.13620674627711252,0.1362148248555293,0.0273848182863917,0.002160559798634272,0.02315012108106853,0.03161951549171487,-0.06177777777777778,0.005983028522214506,-0.0735045136813182,-0.05005104187423735,0.005204485463177308,0.0021895893542093346,0.0009128903289270128,0.009496080597427604,-0.018222222222222226,0.006094142551924976,-0.03016674162399518,-0.006277702820449274
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,144,48,9,balanced_mix,500,0.18974375506590113,0.0020612890343047413,0.18570362855866385,0.19378388157313842,0.26933333333333337,0.006100472511458391,0.2573764072108749,0.28129025945579184,0.021591525381635692,4.0215355957427976e-05,0.02151270328395913,0.021670347479312253,0.9122083333333333,0.0008729936918282647,0.9104972656973499,0.9139194009693167,144.0,0.0,144.0,144.0,0.48756944444444444,0.003230806702544591,0.481237063307457,0.49390182558143186,73.79,0.46523616516642113,72.87813711627382,74.70186288372619,14.042,0.09304723303328423,13.859627423254762,14.224372576745237,0.13721643849399293,6.932995246798791e-06,0.13720284982330921,0.13723002716467664,0.030449991143888838,0.0022062071310299603,0.026125825167070117,0.03477415712070756,-0.06044444444444444,0.006307523575693803,-0.07280719065280429,-0.04808169823608459,0.008269658320674451,0.0021012133537344204,0.004151280147354988,0.012388036493993915,-0.016888888888888894,0.006020195770834751,-0.028688472599725005,-0.005089305178052783
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,144,48,9,validation_only,500,0.188213800819217,0.0019412965596967546,0.18440885956221134,0.19201874207622263,0.26844444444444443,0.005695072902522942,0.25728210155549947,0.2796067873333894,0.02127280430989456,4.9413536378201684e-05,0.021175953778593284,0.021369654841195837,0.914625,0.0009783246390180154,0.9127074837075247,0.9165425162924753,140.0,0.0,140.0,140.0,0.972222222222222,9.940081669675863e-18,0.972222222222222,0.972222222222222,0.0,0.0,0.0,0.0,28.0,0.0,28.0,28.0,0.13623056951713716,1.928024764466016e-06,0.1362267905885988,0.13623434844567553,0.028920036897204682,0.00244031351051252,0.024137022416600144,0.03370305137780922,-0.061333333333333344,0.007281960091516415,-0.07560597511270552,-0.04706069155396117,0.0067397040739902965,0.0024597198946122297,0.0019186530805503262,0.011560755067430267,-0.01777777777777778,0.007094558780785465,-0.031683112988117296,-0.0038724425674382702
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,144,48,9,uniform,500,0.1814740967452267,0.0020314346663842468,0.17749248479911356,0.18545570869133982,0.2862222222222222,0.006140894206639733,0.2741860695772083,0.2982583748672361,0.021901497946408662,2.4459597196115856e-05,0.021853557135904277,0.021949438756913048,0.9107083333333332,0.000680373761840129,0.9093748007601266,0.9120418659065399,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.13825594993598367,6.981338457545348e-08,0.1382558131017499,0.13825608677021745,0.022180332823214386,0.0016042302375797407,0.019036041557558094,0.02532462408887068,-0.043555555555555556,0.004543365848724886,-0.052460552619056335,-0.03465055849205478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,480,48,9,ordinary_kg,500,0.1367467373896112,0.0019115361656341942,0.1330001265049682,0.14049334827425422,0.38,0.006583012594982694,0.36709729531383395,0.39290270468616606,0.02181611449106961,2.4606302410231125e-05,0.021767886138345557,0.021864342843793662,0.9155416666666666,0.0006847573631615202,0.91419954223487,0.9168837910984632,480.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,480.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.13825953514987144,3.2175934972606924e-07,0.138258904501546,0.1382601657981969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023751707881881103,0.0013407072336300637,-0.02637949405979603,-0.021123921703966177,0.05022222222222223,0.004027712704578029,0.04232790532124929,0.05811653912319517
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,480,48,9,two_channel_kg,500,0.14997376193451875,0.0019050830458858339,0.14623979916458252,0.15370772470445498,0.3548888888888889,0.006051896267098408,0.34302717220537604,0.3667506055724018,0.019755499462647676,7.656495290597093e-05,0.019605432154951974,0.01990556677034338,0.9163333333333332,0.0011096879106137763,0.9141583450285302,0.9185083216381362,480.0,0.0,480.0,480.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,96.0,0.0,96.0,96.0,0.13176145354320062,8.895162704700909e-06,0.1317440190242994,0.13177888806210183,0.013227024544907547,0.002295275314152954,0.008728284929167756,0.017725764160647337,-0.025111111111111112,0.00721305105998175,-0.03924869118867534,-0.010973531033546882,-0.010524683336973557,0.0024377561882131496,-0.015302685465871331,-0.005746681208075783,0.025111111111111115,0.0075940119203513606,0.01022684774722245,0.03999537447499978
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,480,48,9,balanced_mix,500,0.1799530601234602,0.002085687692691086,0.1758651122457857,0.18404100800113474,0.2873333333333334,0.006281070128211909,0.27502243588203806,0.2996442307846287,0.020751688034274473,6.252086062595363e-05,0.020629147147447603,0.020874228921101343,0.9179166666666666,0.0010201092649768698,0.9159172525073119,0.9199160808260213,480.0,0.0,480.0,480.0,0.4974375,0.0017755169113668119,0.49395748685372104,0.500917513146279,241.23,0.8522481174560698,239.55959368978608,242.9004063102139,47.754,0.17044962349121393,47.41991873795722,48.08808126204278,0.13473665287024333,1.245474207383278e-05,0.13471224157577863,0.13476106416470804,0.04320632273384898,0.0025630794657740233,0.03818268698093189,0.04822995848676607,-0.09266666666666666,0.00817684131026802,-0.10869327563479197,-0.07664005769854135,0.019454614851967877,0.002601258135418995,0.014356148906546646,0.024553080797389108,-0.042444444444444444,0.008100283155488427,-0.05832099942920176,-0.026567889459687126
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,480,48,9,validation_only,500,0.16349806748396215,0.0018875342620228335,0.15979850033039739,0.1671976346375269,0.3244444444444445,0.005586863464475573,0.31349419205407236,0.3353946968348166,0.019697144554473533,7.209864947167907e-05,0.01955583120150904,0.019838457907438024,0.9208333333333333,0.0011160406125465424,0.9186458937327421,0.9230207729339245,480.0,0.0,480.0,480.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,96.0,0.0,96.0,96.0,0.13150909524083926,3.3975741043573564e-06,0.13150243599559472,0.1315157544860838,0.02675133009435091,0.0025310940796231963,0.021790385698289443,0.031712274490412376,-0.05555555555555556,0.007998738117653401,-0.07123308226615623,-0.039878028844954894,0.002999622212469804,0.002614489880240886,-0.0021247779528023327,0.00812402237774194,-0.005333333333333334,0.008325641815236644,-0.021651591291197154,0.010984924624530488
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,480,48,9,uniform,500,0.1604984452714923,0.002067485883150377,0.15644617294051755,0.16455071760246703,0.3297777777777778,0.006767178179428659,0.31651410854609763,0.34304144700945793,0.021894709553213803,2.5207205182299595e-05,0.021845303431056496,0.02194411567537111,0.911,0.0006866169862241553,0.9096542307070007,0.9123457692929994,480.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,480.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.1382322047193777,1.271633521103385e-08,0.13823217979536068,0.1382322296433947,0.023751707881881103,0.0013407072336300637,0.021123921703966177,0.02637949405979603,-0.05022222222222223,0.004027712704578029,-0.05811653912319517,-0.04232790532124929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,1440,48,9,ordinary_kg,500,0.12421666528561405,0.0017869109591934977,0.1207143198055948,0.1277190107656333,0.4093333333333333,0.0068708867576419376,0.39586639528835516,0.4228002713783115,0.021843084449588913,2.4807925690527e-05,0.02179446091523548,0.021891707983942348,0.9152916666666667,0.0006657971743032371,0.9139867042050324,0.9165966291283011,1440.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,1440.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,0.1382397480414707,1.450404098230923e-07,0.13823946376226745,0.13824003232067397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013825305960996336,0.0010788622134671154,-0.015939875899391883,-0.011710736022600789,0.03266666666666667,0.0036806511858277972,0.025452590342444188,0.03988074299088915
