scenario,state,mu,tau,bias_mean,bias_sd,ordinary_variance,validation_variance
unweighted_uniform,01,8.556928566324567,0.13881606594281007,0.0,0.0,7.211777069245414,7.211777069245414
unweighted_uniform,02,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,6.6313968915328445,6.631396891532859
unweighted_uniform,04,8.556928566324567,0.13881606594281007,0.0,0.0,6.878642521537017,6.878642521537017
unweighted_uniform,05,8.556928566324567,0.13881606594281007,0.0,0.0,8.122828872153974,8.122828872153974
unweighted_uniform,06,8.556928566324567,0.13881606594281007,0.0,0.0,7.135161343624645,7.135161343624645
unweighted_uniform,08,8.556928566324567,0.13881606594281007,0.0,0.0,6.915897088915429,6.915897088915443
unweighted_uniform,09,8.556928566324567,0.13881606594281007,-1.7763568394002505e-15,0.0,6.822149469553381,6.822149469553381
unweighted_uniform,10,8.556928566324567,0.13881606594281007,0.0,0.0,7.038381613865994,7.038381613865994
unweighted_uniform,11,8.556928566324567,0.13881606594281007,0.0,0.0,4.957616680155681,4.957616680155681
unweighted_uniform,12,8.556928566324567,0.13881606594281007,0.0,0.0,8.11878594945901,8.11878594945901
unweighted_uniform,13,8.556928566324567,0.13881606594281007,0.0,0.0,7.083630360227119,7.083630360227119
unweighted_uniform,15,8.556928566324567,0.13881606594281007,0.0,0.0,6.997678868398481,6.997678868398481
unweighted_uniform,16,8.556928566324567,0.13881606594281007,0.0,0.0,7.52205820463297,7.52205820463297
unweighted_uniform,17,8.556928566324567,0.13881606594281007,0.0,0.0,6.942231764120507,6.942231764120507
unweighted_uniform,18,8.556928566324567,0.13881606594281007,-3.552713678800501e-15,0.0,7.201884131103455,7.201884131103412
unweighted_uniform,19,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,7.3952640914893095,7.395264091489338
unweighted_uniform,20,8.556928566324567,0.13881606594281007,0.0,0.0,7.1159090415856525,7.1159090415856525
unweighted_uniform,22,8.556928566324567,0.13881606594281007,0.0,0.0,8.33522443258525,8.33522443258525
unweighted_uniform,23,8.556928566324567,0.13881606594281007,0.0,0.0,7.21604759480195,7.21604759480195
unweighted_uniform,24,8.556928566324567,0.13881606594281007,0.0,0.0,6.426272431673965,6.426272431673979
unweighted_uniform,25,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,6.564459069046606,6.56445906904662
unweighted_uniform,26,8.556928566324567,0.13881606594281007,0.0,0.0,7.454823065601275,7.454823065601275
unweighted_uniform,27,8.556928566324567,0.13881606594281007,0.0,0.0,6.075030439049215,6.075030439049215
unweighted_uniform,28,8.556928566324567,0.13881606594281007,0.0,0.0,7.740407597659043,7.740407597659029
unweighted_uniform,29,8.556928566324567,0.13881606594281007,0.0,0.0,8.149778242295113,8.149778242295113
unweighted_uniform,30,8.556928566324567,0.13881606594281007,-1.7763568394002505e-15,0.0,7.240121216166898,7.240121216166884
unweighted_uniform,31,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,5.941771379933257,5.941771379933272
unweighted_uniform,32,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,8.430872104277185,8.4308721042772
unweighted_uniform,33,8.556928566324567,0.13881606594281007,-1.7763568394002505e-15,0.0,6.278964619650949,6.278964619650935
unweighted_uniform,34,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,6.2630338171722855,6.263033817172314
unweighted_uniform,35,8.556928566324567,0.13881606594281007,0.0,0.0,6.680605005718917,6.680605005718917
unweighted_uniform,36,8.556928566324567,0.13881606594281007,0.0,0.0,6.414111538688218,6.414111538688218
unweighted_uniform,37,8.556928566324567,0.13881606594281007,0.0,0.0,7.254960441309564,7.254960441309564
unweighted_uniform,38,8.556928566324567,0.13881606594281007,0.0,0.0,5.521133894563704,5.521133894563704
unweighted_uniform,39,8.556928566324567,0.13881606594281007,0.0,0.0,7.028820791020252,7.028820791020252
unweighted_uniform,40,8.556928566324567,0.13881606594281007,0.0,0.0,7.524834259579478,7.524834259579478
unweighted_uniform,41,8.556928566324567,0.13881606594281007,0.0,0.0,7.5270307301896935,7.527030730189679
unweighted_uniform,44,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,6.226844553551857,6.226844553551885
unweighted_uniform,45,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,6.860338757412023,6.860338757412052
unweighted_uniform,46,8.556928566324567,0.13881606594281007,3.552713678800501e-15,0.0,6.5084109315400696,6.508410931540112
unweighted_uniform,48,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,7.153034940612699,7.153034940612713
unweighted_uniform,49,8.556928566324567,0.13881606594281007,0.0,0.0,7.270210785214289,7.270210785214289
unweighted_uniform,50,8.556928566324567,0.13881606594281007,0.0,0.0,6.328850284984853,6.328850284984853
unweighted_uniform,51,8.556928566324567,0.13881606594281007,-3.552713678800501e-15,0.0,6.733616387809164,6.733616387809121
unweighted_uniform,53,8.556928566324567,0.13881606594281007,-1.7763568394002505e-15,0.0,6.603522083643455,6.6035220836434405
unweighted_uniform,54,8.556928566324567,0.13881606594281007,0.0,0.0,9.805194538428907,9.805194538428907
unweighted_uniform,55,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,6.9043694943295435,6.904369494329558
unweighted_uniform,56,8.556928566324567,0.13881606594281007,1.7763568394002505e-15,0.0,6.489012813065415,6.489012813065443
unweighted_tilt_025,01,8.556928566324567,0.13881606594281007,-0.17857239391225477,0.6954950854417508,7.9638682520246995,7.211777069245414
unweighted_tilt_025,02,8.556928566324567,0.13881606594281007,-0.1833060537700928,0.6716659803334228,7.467539226296687,6.631396891532859
unweighted_tilt_025,04,8.556928566324567,0.13881606594281007,-0.18069487654960925,0.681694811382251,7.672274652977421,6.878642521537017
unweighted_tilt_025,05,8.556928566324567,0.13881606594281007,-0.172804967190185,0.7315664154331714,8.749049479809706,8.122828872153974
unweighted_tilt_025,06,8.556928566324567,0.13881606594281007,-0.1760332161431215,0.691301799834001,7.863961728789455,7.135161343624645
unweighted_tilt_025,08,8.556928566324567,0.13881606594281007,-0.16630348000342599,0.6789861431388693,7.573690843325956,6.915897088915443
unweighted_tilt_025,09,8.556928566324567,0.13881606594281007,-0.180407725609657,0.6791076667761939,7.616009281186134,6.822149469553381
unweighted_tilt_025,10,8.556928566324567,0.13881606594281007,-0.17896122682250848,0.6881925638547362,7.807565224239713,7.038381613865994
unweighted_tilt_025,11,8.556928566324567,0.13881606594281007,-0.17341364834484807,0.590039764330724,5.834030924102674,4.957616680155681
unweighted_tilt_025,12,8.556928566324567,0.13881606594281007,-0.17924356946617737,0.7330951179313367,8.801283700711778,8.11878594945901
unweighted_tilt_025,13,8.556928566324567,0.13881606594281007,-0.18272221055401605,0.6912172131359737,7.882524627477963,7.083630360227119
unweighted_tilt_025,15,8.556928566324567,0.13881606594281007,-0.18614088976687704,0.6885398191911136,7.834516462098751,6.997678868398481
unweighted_tilt_025,16,8.556928566324567,0.13881606594281007,-0.17857499750175387,0.7083700617798319,8.243321795863892,7.52205820463297
unweighted_tilt_025,17,8.556928566324567,0.13881606594281007,-0.17591911021611617,0.6830554655433265,7.688176350727211,6.942231764120507
unweighted_tilt_025,18,8.556928566324567,0.13881606594281007,-0.1791398923374521,0.6950465490075617,7.953525222667395,7.201884131103412
unweighted_tilt_025,19,8.556928566324567,0.13881606594281007,-0.17623666970145013,0.7024510334349605,8.107450818714696,7.395264091489338
unweighted_tilt_025,20,8.556928566324567,0.13881606594281007,-0.18564534552270473,0.6933656336371072,7.936108646263683,7.1159090415856525
unweighted_tilt_025,22,8.556928566324567,0.13881606594281007,-0.17344241963636842,0.7404307041809397,8.955889619354195,8.33522443258525
unweighted_tilt_025,23,8.556928566324567,0.13881606594281007,-0.18034565417013004,0.6959982757868217,7.9776082472329755,7.21604759480195
unweighted_tilt_025,24,8.556928566324567,0.13881606594281007,-0.1822953491351793,0.6624082173887142,7.273829715775378,6.426272431673979
unweighted_tilt_025,25,8.556928566324567,0.13881606594281007,-0.1718483603007055,0.6650892731039573,7.2972921900188155,6.56445906904662
unweighted_tilt_025,26,8.556928566324567,0.13881606594281007,-0.17240103804621576,0.7037555380050549,8.12395839692515,7.454823065601275
unweighted_tilt_025,27,8.556928566324567,0.13881606594281007,-0.17904412313436424,0.6452128967870561,6.911120679840966,6.075030439049215
unweighted_tilt_025,28,8.556928566324567,0.13881606594281007,-0.17985655447943127,0.7179725651216744,8.46247845123224,7.740407597659029
unweighted_tilt_025,29,8.556928566324567,0.13881606594281007,-0.17558293709232675,0.7333920836157803,8.798376956375925,8.149778242295113
unweighted_tilt_025,30,8.556928566324567,0.13881606594281007,-0.17531359728358842,0.6955536427361433,7.953858275945908,7.240121216166884
unweighted_tilt_025,31,8.556928566324567,0.13881606594281007,-0.19105743522928353,0.642985677329599,6.89992777633605,5.941771379933272
unweighted_tilt_025,32,8.556928566324567,0.13881606594281007,-0.16634986961258802,0.7423246696162713,8.97936271342191,8.4308721042772
unweighted_tilt_025,33,8.556928566324567,0.13881606594281007,-0.1917672993692605,0.6585891396323191,7.219139028014563,6.278964619650935
unweighted_tilt_025,34,8.556928566324567,0.13881606594281007,-0.18384269306317158,0.6552044190108308,7.126267697001886,6.263033817172314
unweighted_tilt_025,35,8.556928566324567,0.13881606594281007,-0.1839655150190156,0.6742134242278679,7.525050307257008,6.680605005718917
unweighted_tilt_025,36,8.556928566324567,0.13881606594281007,-0.17520291362344942,0.6594296051454673,7.19013624944219,6.414111538688218
unweighted_tilt_025,37,8.556928566324567,0.13881606594281007,-0.17517364565228544,0.6962195450411874,7.968743884744121,7.254960441309564
unweighted_tilt_025,38,8.556928566324567,0.13881606594281007,-0.19292241244096076,0.6240938473543327,6.532301692646136,5.521133894563704
unweighted_tilt_025,39,8.556928566324567,0.13881606594281007,-0.1729142737416245,0.6858670602050205,7.739260288326047,7.028820791020252
unweighted_tilt_025,40,8.556928566324567,0.13881606594281007,-0.18114365105814256,0.7093927605590191,8.275096348511255,7.524834259579478
unweighted_tilt_025,41,8.556928566324567,0.13881606594281007,-0.1625732214951956,0.7042559146880656,8.109941404866483,7.527030730189679
unweighted_tilt_025,44,8.556928566324567,0.13881606594281007,-0.18579997775317114,0.6544114941901578,7.1178641935066835,6.226844553551885
unweighted_tilt_025,45,8.556928566324567,0.13881606594281007,-0.18799535636341425,0.6830404021113292,7.720688041202877,6.860338757412052
unweighted_tilt_025,46,8.556928566324567,0.13881606594281007,-0.1860975228347459,0.6668604821131487,7.372847236058451,6.508410931540112
unweighted_tilt_025,48,8.556928566324567,0.13881606594281007,-0.1747169046467345,0.6916194609638424,7.866607651256864,7.153034940612713
unweighted_tilt_025,49,8.556928566324567,0.13881606594281007,-0.17162720350381777,0.6957738987702329,7.948230818859301,7.270210785214289
unweighted_tilt_025,50,8.556928566324567,0.13881606594281007,-0.1817226201689941,0.6576689267427902,7.172489635902032,6.328850284984853
unweighted_tilt_025,51,8.556928566324567,0.13881606594281007,-0.1817118320640181,0.675979642093385,7.5570924479704615,6.733616387809121
unweighted_tilt_025,53,8.556928566324567,0.13881606594281007,-0.16611461757911394,0.6650746943245669,7.280778850576485,6.6035220836434405
unweighted_tilt_025,54,8.556928566324567,0.13881606594281007,-0.1632094664866206,0.7943939472922996,10.215995283849374,9.805194538428907
unweighted_tilt_025,55,8.556928566324567,0.13881606594281007,-0.18358264938509716,0.68360341324047,7.720105200459713,6.904369494329558
unweighted_tilt_025,56,8.556928566324567,0.13881606594281007,-0.1912280607565271,0.6680753665809784,7.4171652567092785,6.489012813065443
unweighted_tilt_05,01,8.556928566324567,0.13881606594281007,-0.6936913892329226,1.5074409754470608,9.466141371874638,7.211777069245414
unweighted_tilt_05,02,8.556928566324567,0.13881606594281007,-0.7190189288388047,1.4804131776942948,9.193986049468261,6.631396891532859
unweighted_tilt_05,04,8.556928566324567,0.13881606594281007,-0.7057289704329204,1.4904110427922816,9.291141800358922,6.878642521537017
unweighted_tilt_05,05,8.556928566324567,0.13881606594281007,-0.6619077772087127,1.551600523764673,9.91053062288719,8.122828872153974
unweighted_tilt_05,06,8.556928566324567,0.13881606594281007,-0.6833704375605696,1.4959728401479855,9.317695521554274,7.135161343624645
unweighted_tilt_05,08,8.556928566324567,0.13881606594281007,-0.6462090620882579,1.4624478091825965,8.902489411767114,6.915897088915443
unweighted_tilt_05,09,8.556928566324567,0.13881606594281007,-0.704934485578554,1.4858898364776083,9.237877901537129,6.822149469553381
unweighted_tilt_05,10,8.556928566324567,0.13881606594281007,-0.69746663826658,1.4977145235553508,9.366216376958405,7.038381613865994
unweighted_tilt_05,11,8.556928566324567,0.13881606594281007,-0.7063721338028515,1.3556827355532501,7.869827052514385,4.957616680155681
