scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,reps,regret_mean,regret_mcse,regret_lo,regret_hi,overlap_mean,overlap_mcse,overlap_lo,overlap_hi,mse_mean,mse_mcse,mse_lo,mse_hi,coverage_mean,coverage_mcse,coverage_lo,coverage_hi,spent_mean,spent_mcse,spent_lo,spent_hi,validation_fraction_mean,validation_fraction_mcse,validation_fraction_lo,validation_fraction_hi,regular_packets_mean,regular_packets_mcse,regular_packets_lo,regular_packets_hi,validation_packets_mean,validation_packets_mcse,validation_packets_lo,validation_packets_hi,posterior_sd_mean,posterior_sd_mcse,posterior_sd_lo,posterior_sd_hi,regret_diff_uniform_mean,regret_diff_uniform_mcse,regret_diff_uniform_lo,regret_diff_uniform_hi,overlap_diff_uniform_mean,overlap_diff_uniform_mcse,overlap_diff_uniform_lo,overlap_diff_uniform_hi,regret_diff_ordinary_kg_mean,regret_diff_ordinary_kg_mcse,regret_diff_ordinary_kg_lo,regret_diff_ordinary_kg_hi,overlap_diff_ordinary_kg_mean,overlap_diff_ordinary_kg_mcse,overlap_diff_ordinary_kg_lo,overlap_diff_ordinary_kg_hi
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,1000,0.16907279523335644,0.0013462695254982007,0.16643410696337996,0.17171148350333293,0.31866666666666665,0.004124533574758251,0.31058258086014046,0.32675075247319285,0.01980103820801094,5.1726708705689483e-05,0.019699653858947785,0.01990242255707409,0.9212291666666667,0.0008376595141560207,0.9195873540189209,0.9228709793144124,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1318131377580802,1.5082599193912284e-06,0.1318101815686382,0.13181609394752222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02144663385094931,0.001313088626858454,0.01887298014230674,0.02402028755959188,-0.045222222222222226,0.004071420557280116,-0.05320220651449126,-0.037242237929953195
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,1000,0.16907279523335644,0.0013462695254982007,0.16643410696337996,0.17171148350333293,0.31866666666666665,0.004124533574758251,0.31058258086014046,0.32675075247319285,0.01980103820801093,5.172670870568948e-05,0.01969965385894778,0.019902422557074084,0.9212291666666667,0.0008376595141560207,0.9195873540189209,0.9228709793144124,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1318131377580802,1.5082599193912284e-06,0.1318101815686382,0.13181609394752222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02144663385094931,0.001313088626858454,0.01887298014230674,0.02402028755959188,-0.045222222222222226,0.004071420557280116,-0.05320220651449126,-0.037242237929953195
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,1000,0.16794165908581657,0.0013801233863967213,0.165236617248479,0.17064670092315415,0.321,0.00418713358315671,0.31279321817701283,0.3292067818229872,0.019759181504202042,5.30986146227674e-05,0.019655108219541417,0.019863254788862666,0.9204166666666668,0.0008424592069014803,0.9187654466211399,0.9220678867121936,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1316963077595143,8.78147550742909e-19,0.1316963077595143,0.1316963077595143,-0.0011311361475398604,0.0011978576705917155,-0.0034789371818996226,0.0012166648868199021,0.002333333333333333,0.0036339085997675494,-0.004789127522211063,0.00945579418887773,0.020315497703409447,0.0012133180839147594,0.01793739425893652,0.022693601147882374,-0.04288888888888889,0.0036987019947311984,-0.050138344798562044,-0.03563943297921574
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,1000,0.14342682566396708,0.0013296799505429322,0.14082065296090293,0.14603299836703124,0.38022222222222224,0.004288090607063676,0.3718175646323774,0.38862687981206706,0.019708071269318797,5.341112256112331e-05,0.019603385469098997,0.019812757069538597,0.9187916666666667,0.0008157331849093156,0.9171928296242444,0.9203905037090889,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1319895620920409,2.3981163671145173e-06,0.13198486178396135,0.13199426240012047,-0.02564596956938932,0.001354415867412489,-0.0283006246695178,-0.022991314469260844,0.06155555555555556,0.004101259135843387,0.05351708764930252,0.0695940234618086,-0.004199335718440009,0.0007730213809071213,-0.005714457625017967,-0.002684213811862051,0.016333333333333335,0.002403338364557478,0.011622790138800678,0.02104387652786599
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,1000,0.1476261613824071,0.0013323784678161332,0.1450146995854875,0.15023762317932673,0.36388888888888893,0.00426128979177137,0.355536760897017,0.37224101688076083,0.01976994247502013,5.2252713385644056e-05,0.019667527156784267,0.019872357793255992,0.9180833333333334,0.0007957228421430259,0.916523716562733,0.9196429501039337,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13199567259663764,2.7542342449121206e-06,0.1319902742975176,0.13200107089575766,-0.02144663385094931,0.001313088626858454,-0.02402028755959188,-0.01887298014230674,0.045222222222222226,0.004071420557280116,0.037242237929953195,0.05320220651449126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unweighted_uniform,False,0.0,0.0,2,48,48,9,ordinary_kg,1000,0.1476261613824071,0.0013323784678161332,0.1450146995854875,0.15023762317932673,0.36388888888888893,0.00426128979177137,0.355536760897017,0.37224101688076083,0.019769942475020136,5.2252713385644076e-05,0.019667527156784274,0.019872357793256,0.9180833333333334,0.0007957228421430259,0.916523716562733,0.9196429501039337,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13199567259663764,2.7542342449121206e-06,0.1319902742975176,0.13200107089575766,-0.02144663385094931,0.001313088626858454,-0.02402028755959188,-0.01887298014230674,0.045222222222222226,0.004071420557280116,0.037242237929953195,0.05320220651449126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unweighted_uniform,False,0.0,0.0,2,48,48,9,two_channel_uniform,1000,0.1750875351472467,0.0013645369536464667,0.17241304271809962,0.17776202757639378,0.3053333333333333,0.004118416736823331,0.2972612365291596,0.313405430137507,0.020144395151619428,4.908021417034126e-05,0.02004819793184556,0.020240592371393296,0.9195416666666667,0.0008489721667115842,0.917877681219912,0.9212056521134214,48.0,0.0,48.0,48.0,0.6575416666666666,0.002482784331649031,0.6526754093766345,0.6624079239566987,16.438,0.1191736479191535,16.204419650078457,16.67158034992154,15.781,0.05958682395957675,15.66420982503923,15.897790174960772,0.13287282525187324,4.210805741859557e-06,0.1328645720726192,0.1328810784311273,0.006014739913890303,0.0012907624285364726,0.0034848455539588166,0.008544634273821789,-0.013333333333333334,0.0038438612222941597,-0.020867301329029888,-0.005799365337636781,0.027461373764839613,0.0014061317097729075,0.024705355613684712,0.030217391915994513,-0.058555555555555555,0.0043529552978135485,-0.06708734793927011,-0.050023763171841
unweighted_uniform,False,0.0,0.0,2,48,48,9,balanced_mix,1000,0.17440564583290147,0.0013983215818522121,0.17166493553247114,0.1771463561333318,0.30377777777777776,0.004158354144748107,0.2956274036540715,0.31192815190148404,0.020086493665183603,4.867795591467626e-05,0.019991084871590837,0.02018190245877637,0.9202291666666668,0.0008383645978623794,0.9185859720548565,0.921872361278477,48.0,0.0,48.0,48.0,0.49766666666666665,0.0027262691823746747,0.4923231790692123,0.503010154264121,24.112,0.1308609207539844,23.85551259532219,24.368487404677808,11.944,0.0654304603769922,11.815756297661096,12.072243702338906,0.1326144656156725,4.6728295189085285e-06,0.13260530686981545,0.13262362436152955,0.005332850599545036,0.0013660103919831059,0.0026554702312581485,0.008010230967831924,-0.014888888888888889,0.004153596450617909,-0.02302993793209999,-0.006747839845677787,0.026779484450494353,0.001428574825479014,0.023979477792555486,0.02957949110843322,-0.060111111111111115,0.00432882505776125,-0.06859560822432316,-0.051626613997899064
unweighted_uniform,False,0.0,0.0,2,48,48,9,validation_only,1000,0.1780894353922876,0.0013923910183008923,0.17536034899641786,0.18081852178815735,0.2971111111111111,0.004150143711804581,0.28897682943597414,0.30524539278624807,0.02035723462010372,4.606643684139508e-05,0.020266944403894586,0.020447524836312854,0.9176666666666666,0.0008378298773305905,0.9160245201070987,0.9193088132262346,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,24.0,0.13343496669879143,1.0726470667331883e-06,0.13343286431054063,0.13343706908704223,0.009016640158931177,0.001489831430123735,0.006096570555888655,0.011936709761973698,-0.021555555555555557,0.004469349639187833,-0.03031548084836371,-0.012795630262747404,0.030463274009880487,0.0015024717478896719,0.027518429384016732,0.03340811863574424,-0.06677777777777778,0.004575153636352372,-0.07574507890502843,-0.05781047665052713
unweighted_uniform,False,0.0,0.0,2,48,48,9,two_channel_kg,1000,0.1476261613824071,0.0013323784678161332,0.1450146995854875,0.15023762317932673,0.36388888888888893,0.00426128979177137,0.355536760897017,0.37224101688076083,0.019769942475020136,5.2252713385644076e-05,0.019667527156784274,0.019872357793256,0.9180833333333334,0.0007957228421430259,0.916523716562733,0.9196429501039337,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13199567259663764,2.7542342449121206e-06,0.1319902742975176,0.13200107089575766,-0.02144663385094931,0.001313088626858454,-0.02402028755959188,-0.01887298014230674,0.045222222222222226,0.004071420557280116,0.037242237929953195,0.05320220651449126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
