state,mu,tau,bias_mean,bias_sd,ordinary_variance,validation_variance
01,8.556928566324567,0.13881606594281007,-0.6936913892329226,1.5074409754470608,9.466141371874638,7.211777069245414
02,8.556928566324567,0.13881606594281007,-0.7190189288388047,1.4804131776942948,9.193986049468261,6.631396891532859
04,8.556928566324567,0.13881606594281007,-0.7057289704329204,1.4904110427922816,9.291141800358922,6.878642521537017
05,8.556928566324567,0.13881606594281007,-0.6619077772087127,1.551600523764673,9.91053062288719,8.122828872153974
06,8.556928566324567,0.13881606594281007,-0.6833704375605696,1.4959728401479855,9.317695521554274,7.135161343624645
08,8.556928566324567,0.13881606594281007,-0.6462090620882579,1.4624478091825965,8.902489411767114,6.915897088915443
09,8.556928566324567,0.13881606594281007,-0.704934485578554,1.4858898364776083,9.237877901537129,6.822149469553381
10,8.556928566324567,0.13881606594281007,-0.69746663826658,1.4977145235553508,9.366216376958405,7.038381613865994
11,8.556928566324567,0.13881606594281007,-0.7063721338028515,1.3556827355532501,7.869827052514385,4.957616680155681
12,8.556928566324567,0.13881606594281007,-0.6873795578795612,1.5628598001489156,10.073802685744873,8.11878594945901
13,8.556928566324567,0.13881606594281007,-0.711507010024178,1.5076088522601125,9.4879414847365,7.083630360227119
15,8.556928566324567,0.13881606594281007,-0.7265856362133549,1.5094496146321008,9.528391349275967,6.997678868398481
16,8.556928566324567,0.13881606594281007,-0.6897604194811349,1.524774399290961,9.644868018318963,7.52205820463297
17,8.556928566324567,0.13881606594281007,-0.6857181348831136,1.4847319647198503,9.204303585367011,6.942231764120507
18,8.556928566324567,0.13881606594281007,-0.695271898818774,1.5063058991356542,9.447556424689903,7.201884131103412
19,8.556928566324567,0.13881606594281007,-0.6819891619556993,1.5130207766749484,9.50744557396489,7.395264091489338
20,8.556928566324567,0.13881606594281007,-0.7227606847307975,1.5147866842991746,9.579108847299295,7.1159090415856525
22,8.556928566324567,0.13881606594281007,-0.6631346107379157,1.5669270382769112,10.09137171537968,8.33522443258525
23,8.556928566324567,0.13881606594281007,-0.7001581534826844,1.509669095300028,9.492451948065824,7.21604759480195
24,8.556928566324567,0.13881606594281007,-0.7185144318702341,1.4671775374774305,9.057062867342193,6.426272431673979
25,8.556928566324567,0.13881606594281007,-0.6727109970833585,1.451104117733303,8.817311871129618,6.56445906904662
26,8.556928566324567,0.13881606594281007,-0.6653839523424101,1.5081664329548183,9.424169454890198,7.454823065601275
27,8.556928566324567,0.13881606594281007,-0.7090830595213644,1.4360870999679323,8.703171738238943,6.075030439049215
28,8.556928566324567,0.13881606594281007,-0.6934410160088649,1.5420886763268853,9.851095246247215,7.740407597659029
29,8.556928566324567,0.13881606594281007,-0.6728105837557661,1.5583299224597718,10.003340427706966,8.149778242295113
30,8.556928566324567,0.13881606594281007,-0.6796521184816755,1.5010726231733522,9.370353211265986,7.240121216166884
31,8.556928566324567,0.13881606594281007,-0.7614449791694047,1.4553395558687012,8.964891009686554,5.941771379933272
32,8.556928566324567,0.13881606594281007,-0.6343121522836115,1.5596110528810194,9.961848802823202,8.4308721042772
33,8.556928566324567,0.13881606594281007,-0.7585180026268121,1.477027142917298,9.196645300464635,6.278964619650935
34,8.556928566324567,0.13881606594281007,-0.7257446186593546,1.457474538762619,8.947092178576877,6.263033817172314
35,8.556928566324567,0.13881606594281007,-0.7221925850401574,1.4865984339255318,9.275460540779271,6.680605005718917
36,8.556928566324567,0.13881606594281007,-0.6885721112729906,1.4491107083921841,8.818422891825865,6.414111538688218
37,8.556928566324567,0.13881606594281007,-0.6791664090070171,1.5023313128900888,9.386317361234816,7.254960441309564
38,8.556928566324567,0.13881606594281007,-0.7774454862338636,1.4359905972753118,8.769437333834617,5.521133894563704
39,8.556928566324567,0.13881606594281007,-0.6723896568672632,1.4836055387326428,9.172005099770587,7.028820791020252
40,8.556928566324567,0.13881606594281007,-0.7006619220300854,1.5314127197279275,9.740734116886898,7.524834259579478
41,8.556928566324567,0.13881606594281007,-0.6258060631096631,1.4953913056588393,9.231794079786074,7.527030730189679
44,8.556928566324567,0.13881606594281007,-0.7353255781172856,1.4615469119601632,9.009800765685135,6.226844553551885
45,8.556928566324567,0.13881606594281007,-0.7354726673118437,1.5039706687780603,9.474309849632473,6.860338757412052
46,8.556928566324567,0.13881606594281007,-0.7317685018720987,1.4772457956345826,9.170191952349615,6.508410931540112
48,8.556928566324567,0.13881606594281007,-0.6779760876555354,1.4940853398376017,9.289811407414064,7.153034940612713
49,8.556928566324567,0.13881606594281007,-0.6642478885720795,1.495512663151917,9.285942440229956,7.270210785214289
50,8.556928566324567,0.13881606594281007,-0.7165451655699924,1.4581999004735886,8.949393691210702,6.328850284984853
51,8.556928566324567,0.13881606594281007,-0.7123553263722995,1.4859200823889394,9.257386907686278,6.733616387809121
53,8.556928566324567,0.13881606594281007,-0.648768711606797,1.441368553765292,8.680751308586999,6.6035220836434405
54,8.556928566324567,0.13881606594281007,-0.6135607529306819,1.6369953656255456,10.817716094323568,9.805194538428907
55,8.556928566324567,0.13881606594281007,-0.7167362823265533,1.4972566602603168,9.375875525765657,6.904369494329558
56,8.556928566324567,0.13881606594281007,-0.7544258399712849,1.4908913950180498,9.356546477058277,6.489012813065443
