org_code,org_name,benchmark_group,ess_factor,assumed_beta,assumed_tau,assumed_individual_sd,nominal_burnout_n,observed_burnout,posterior_mean,posterior_sd,repeat_floor_sd,selected,review_slots,ordinary_KG,validation_KG,ordinary_KG_per_cost,validation_KG_per_cost,preferred_channel,action_priority_rank,evidence_type
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Acute Specialist Trusts,1.0,0.0,0.35,2.5,1134,5.678241716776859,5.65842137932184,0.07262348636075942,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,93,model_conditional_scenario_no_new_NHS_observations
RBS,Alder Hey Children's NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2417,5.03379651104725,5.031911461873009,0.05032289707692628,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,94,model_conditional_scenario_no_new_NHS_observations
RBT,Mid Cheshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2321,5.159859070401051,5.155186217238993,0.05133112682671909,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,95,model_conditional_scenario_no_new_NHS_observations
RBV,The Christie NHS Foundation Trust,Acute Specialist Trusts,1.0,0.0,0.35,2.5,1947,5.371544749364454,5.367621015708365,0.05592938562891685,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,96,model_conditional_scenario_no_new_NHS_observations
RC9,Bedfordshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3542,4.996424718879917,4.995660566320135,0.041707116650219506,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,97,model_conditional_scenario_no_new_NHS_observations
RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,5839,4.89781742010006,4.898205427056065,0.03257478881969159,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,98,model_conditional_scenario_no_new_NHS_observations
RCD,Harrogate and District NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3330,5.232869698503418,5.228489619910861,0.04299481776962386,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,99,model_conditional_scenario_no_new_NHS_observations
RCF,Airedale NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,1473,4.975561958614382,4.974458830868139,0.0640390111696889,0.0,False,36,3.0020537825968406e-129,3.0020537825968406e-129,3.0020537825968406e-129,6.004107565193681e-130,ordinary,48,model_conditional_scenario_no_new_NHS_observations
RCU,Sheffield Children's NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2212,5.172472246752322,5.167289954790602,0.05255278951432529,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,100,model_conditional_scenario_no_new_NHS_observations
RCX,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2188,4.693193387518781,4.698876841990787,0.052833694741002406,0.0,True,36,4.204983687022465e-106,4.204983687022465e-106,4.204983687022465e-106,8.40996737404493e-107,ordinary,44,model_conditional_scenario_no_new_NHS_observations
RD1,Royal United Hospitals Bath NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3322,4.870227174391674,4.871322049026233,0.043045774300440404,0.0,False,36,1.511737405983081e-103,1.511737405983081e-103,1.511737405983081e-103,3.023474811966162e-104,ordinary,42,model_conditional_scenario_no_new_NHS_observations
RD8,Milton Keynes University Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2646,5.007673109794047,5.006442302185837,0.04813909177296806,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,101,model_conditional_scenario_no_new_NHS_observations
RDE,East Suffolk and North Essex NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,6181,4.826152582960841,4.827106003800637,0.03166836014339504,0.0,False,36,1.234837211410116e-50,1.234837211410116e-50,1.234837211410116e-50,2.469674422820232e-51,ordinary,29,model_conditional_scenario_no_new_NHS_observations
RDR,Sussex Community NHS Foundation Trust,Community Trusts,1.0,0.0,0.35,2.5,4042,5.455663526627008,5.452424527706693,0.039076715557228324,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,102,model_conditional_scenario_no_new_NHS_observations
RDU,Frimley Health NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,5683,5.214387091389177,5.211968867531418,0.03301493081438376,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,103,model_conditional_scenario_no_new_NHS_observations
RDY,Dorset Healthcare University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,3551,5.32574192241569,5.324414333672625,0.041654979408947426,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,104,model_conditional_scenario_no_new_NHS_observations
REF,Royal Cornwall Hospitals NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3848,4.677182765495703,4.680656006875488,0.04003706697012742,0.0,True,36,0.0,0.0,0.0,0.0,ordinary,105,model_conditional_scenario_no_new_NHS_observations
REM,Liverpool University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4448,4.900798593715324,4.901272756533268,0.03727185664652237,4.656612873077393e-10,False,36,0.0,0.0,0.0,0.0,ordinary,106,model_conditional_scenario_no_new_NHS_observations
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,Acute Specialist Trusts,1.0,0.0,0.35,2.5,1209,5.148985203133816,5.151775141253453,0.0704289508624131,0.0,False,36,7.725443161599101e-95,7.725443161599101e-95,7.725443161599101e-95,1.54508863231982e-95,ordinary,40,model_conditional_scenario_no_new_NHS_observations
REP,Liverpool Women's NHS Foundation Trust,Acute Specialist Trusts,1.0,0.0,0.35,2.5,772,4.870614374479285,4.892142361016698,0.08714344134341251,0.0,True,36,2.452957767962273e-45,2.452957767962273e-45,2.452957767962273e-45,4.905915535924546e-46,ordinary,27,model_conditional_scenario_no_new_NHS_observations
RET,The Walton Centre NHS Foundation Trust,Acute Specialist Trusts,1.0,0.0,0.35,2.5,578,5.26298595970273,5.259327912788909,0.09967991078891203,0.0,False,36,3.575485616205894e-64,3.575485616205894e-64,3.575485616205894e-64,7.150971232411788e-65,ordinary,37,model_conditional_scenario_no_new_NHS_observations
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4158,4.72425974416934,4.726906524482789,0.038534479122022375,0.0,True,36,1.7403062916558992e-195,1.7403062916558992e-195,1.7403062916558992e-195,3.4806125833117984e-196,ordinary,62,model_conditional_scenario_no_new_NHS_observations
RFF,Barnsley Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2219,5.136556181678653,5.132197110660979,0.05247169915040437,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,107,model_conditional_scenario_no_new_NHS_observations
RFR,The Rotherham NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3137,5.104376831626352,5.101787959680764,0.044277129964932736,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,108,model_conditional_scenario_no_new_NHS_observations
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2972,5.003096039227562,5.002075209457098,0.045469425724764895,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,109,model_conditional_scenario_no_new_NHS_observations
RGD,Leeds and York Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,1497,5.190906308393158,5.192261178332304,0.06354065212704502,0.0,False,36,2.250188147620094e-52,2.250188147620094e-52,2.250188147620094e-52,4.500376295240188e-53,ordinary,30,model_conditional_scenario_no_new_NHS_observations
RGM,Royal Papworth Hospital NHS Foundation Trust,Acute Specialist Trusts,1.0,0.0,0.35,2.5,1177,5.188774029843231,5.189983567387827,0.07134067538813144,0.0,False,36,1.8477599707724933e-130,1.8477599707724933e-130,1.8477599707724933e-130,3.695519941544987e-131,ordinary,49,model_conditional_scenario_no_new_NHS_observations
RGN,North West Anglia NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3216,4.459261605305287,4.4668099712417115,0.04373852014499535,0.0,True,36,0.0,0.0,0.0,0.0,ordinary,110,model_conditional_scenario_no_new_NHS_observations
RGP,James Paget University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,1657,4.760551985153012,4.765990273456063,0.060491378420222335,0.0,True,36,3.7934200239185407e-14,3.7934200239185407e-14,3.7934200239185407e-14,7.58684004783708e-15,ordinary,8,model_conditional_scenario_no_new_NHS_observations
RGR,West Suffolk NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2435,4.74071370554987,4.74485722122491,0.0501403849507838,0.0,True,36,4.33343678868017e-46,4.33343678868017e-46,4.33343678868017e-46,8.666873577360339e-47,ordinary,28,model_conditional_scenario_no_new_NHS_observations
RGT,Cambridge University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,6990,4.925261247972768,4.9253869646357575,0.02979354678915191,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,111,model_conditional_scenario_no_new_NHS_observations
RHA,Nottinghamshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,4456,4.874412494463094,4.878460625652165,0.03723876302152717,0.0,True,36,0.0,0.0,0.0,0.0,ordinary,112,model_conditional_scenario_no_new_NHS_observations
RHM,University Hospital Southampton NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4801,4.898579234362294,4.89904223752918,0.035890433108853405,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,113,model_conditional_scenario_no_new_NHS_observations
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,10718,4.881592309708601,4.881881396415289,0.024090838082161503,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,114,model_conditional_scenario_no_new_NHS_observations
RHU,Portsmouth Hospitals University NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3768,4.802865589846258,4.804732521483894,0.040454237433101434,0.0,False,36,7.286959372407049e-06,7.286959372407049e-06,7.286959372407049e-06,1.4573918744814097e-06,ordinary,5,model_conditional_scenario_no_new_NHS_observations
RHW,Royal Berkshire NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4156,5.285013243534149,5.280860774953905,0.03854363759920796,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,115,model_conditional_scenario_no_new_NHS_observations
RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,11816,5.128245974433135,5.127447864235342,0.022949285248241615,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,116,model_conditional_scenario_no_new_NHS_observations
RJ2,Lewisham and Greenwich NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4770,5.01487492662177,5.014110160543267,0.03600563907162587,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,117,model_conditional_scenario_no_new_NHS_observations
RJ6,Croydon Health Services NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2037,5.027158642981511,5.025092727783793,0.05471074632011558,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,118,model_conditional_scenario_no_new_NHS_observations
RJ7,St George's University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4453,4.887730566714432,4.888352234471781,0.03725116279799075,0.0,False,36,9.371637693435734e-273,9.371637693435734e-273,9.371637693435734e-273,1.874327538687147e-273,ordinary,73,model_conditional_scenario_no_new_NHS_observations
RJ8,Cornwall Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,3068,5.026328323604617,5.029692906358656,0.04476420752726896,0.0,True,36,3.1610782944847697e-214,3.1610782944847697e-214,3.1610782944847697e-214,6.32215658896954e-215,ordinary,67,model_conditional_scenario_no_new_NHS_observations
RJC,South Warwickshire University NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2605,5.194167129545242,5.189334894745339,0.04850922148951284,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,119,model_conditional_scenario_no_new_NHS_observations
RJE,University Hospitals of North Midlands NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,5372,4.8790352090298,4.8796333341925795,0.03394840614616738,0.0,False,36,5.602941264e-315,5.602941264e-315,5.602941264e-315,1.12058825e-315,ordinary,80,model_conditional_scenario_no_new_NHS_observations
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3271,4.946698589583346,4.946635806004822,0.04337493735977554,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,120,model_conditional_scenario_no_new_NHS_observations
RJN,East Cheshire NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,1321,4.924497900633165,4.925171447380057,0.06749315392432187,0.0,False,36,1.54320246868996e-57,1.54320246868996e-57,1.54320246868996e-57,3.08640493737992e-58,ordinary,34,model_conditional_scenario_no_new_NHS_observations
RJR,Countess of Chester Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2188,4.618213802992669,4.625605812238221,0.052833694741002406,0.0,True,36,4.95954749016732e-290,4.95954749016732e-290,4.95954749016732e-290,9.91909498033464e-291,ordinary,76,model_conditional_scenario_no_new_NHS_observations
RJZ,King's College Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,6353,4.844882315255672,4.845660910454768,0.031240189172429683,0.0,False,36,6.413732197071385e-145,6.413732197071385e-145,6.413732197071385e-145,1.282746439414277e-145,ordinary,52,model_conditional_scenario_no_new_NHS_observations
RK5,Sherwood Forest Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3596,4.833012007832405,4.834545250548006,0.04139719469401691,0.0,False,36,5.592970674235155e-32,5.592970674235155e-32,5.592970674235155e-32,1.118594134847031e-32,ordinary,21,model_conditional_scenario_no_new_NHS_observations
RK9,University Hospitals Plymouth NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,5422,4.868694596347482,4.869383654118668,0.03379297872388553,0.0,False,36,4.806980174233915e-246,4.806980174233915e-246,4.806980174233915e-246,9.61396034846783e-247,ordinary,70,model_conditional_scenario_no_new_NHS_observations
RKB,University Hospitals Coventry and Warwickshire NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,6305,4.933915092043216,4.933984892154702,0.03135792861883897,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,121,model_conditional_scenario_no_new_NHS_observations
RKE,Whittington Health NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2483,5.241123918395662,5.235113600274426,0.04966322917123454,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,122,model_conditional_scenario_no_new_NHS_observations
RKL,West London NHS Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,4133,5.379938065556677,5.378134271513184,0.0386494316220096,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,123,model_conditional_scenario_no_new_NHS_observations
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Acute Specialist Trusts,1.0,0.0,0.35,2.5,822,5.061806859756023,5.070928357439153,0.0846111914536219,0.0,False,36,8.328914064229057e-19,8.328914064229057e-19,8.328914064229057e-19,1.6657828128458114e-19,ordinary,10,model_conditional_scenario_no_new_NHS_observations
RL4,The Royal Wolverhampton NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3372,4.727096750241856,4.730309003116898,0.042730233345299885,0.0,True,36,2.734387461810112e-121,2.734387461810112e-121,2.734387461810112e-121,5.468774923620224e-122,ordinary,47,model_conditional_scenario_no_new_NHS_observations
RLQ,Wye Valley NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,1976,5.012313124373934,5.010558702631907,0.05552786148766612,0.0,False,36,1.095087e-318,1.095087e-318,1.095087e-318,2.1902e-319,ordinary,82,model_conditional_scenario_no_new_NHS_observations
RLT,George Eliot Hospital NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,1634,5.055260492039282,5.051849589194667,0.06090282332544219,0.0,False,36,1.35206795e-316,1.35206795e-316,1.35206795e-316,2.704136e-317,ordinary,81,model_conditional_scenario_no_new_NHS_observations
RLY,North Staffordshire Combined Healthcare NHS Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,1295,5.506161264635511,5.495769839556111,0.06814189176554998,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,124,model_conditional_scenario_no_new_NHS_observations
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4723,4.540971614751612,4.545263969156835,0.03618244187118791,0.0,True,36,0.0,0.0,0.0,0.0,ordinary,125,model_conditional_scenario_no_new_NHS_observations
