analysis_stage,scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,state,ordinary_count_mean,validation_count_mean,mean_estimate,reference
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,44,39.28,0.0,8.558593740515619,8.715135738192634
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,45,40.68,0.0,8.557899425372664,8.683043063859284
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,46,36.76,0.0,8.559390960918234,8.805004409171076
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,48,44.08,0.0,8.555227821990254,8.50069498069498
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,49,42.64,0.0,8.55551269831456,8.465273829827554
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,50,39.52,0.0,8.558070621822655,8.580938833570412
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,51,38.68,0.0,8.558238536135185,8.594168096054887
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,53,42.76,0.0,8.555690345567344,8.444160681032189
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,54,39.56,0.0,8.555660254975257,8.267142457318778
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,55,41.32,0.0,8.556576127812939,8.5075743170438
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,56,36.96,0.0,8.558608499095127,8.636943744752307
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,01,21.0,3.44,8.554251268198627,8.35949741315595
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,02,20.72,4.8,8.558238589374541,8.635873229939312
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,04,20.64,4.16,8.556502257080547,8.519881085098477
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,05,23.56,0.64,8.554553419643932,8.29320987654321
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,06,21.12,4.36,8.554098151974674,8.431945521937767
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,08,21.28,4.2,8.55573770593476,8.508233957978423
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,09,20.56,3.72,8.557044360371068,8.553915436577434
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,10,21.12,3.84,8.558645533086878,8.68655574679671
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,11,20.0,7.84,8.561633249035127,8.715625586193958
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,12,22.08,0.8,8.558099472359611,8.560529336304098
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,13,21.04,4.44,8.555939139646744,8.443810730882975
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,15,20.84,3.28,8.5579988833255,8.658482845451683
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,16,22.24,2.96,8.556607467085646,8.519994162288384
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,17,20.76,4.4,8.559081697156817,8.66492682427592
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,18,21.32,4.2,8.55626426529803,8.485706993363962
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,19,21.32,3.2,8.556282651575987,8.577984966753396
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,20,21.28,3.76,8.556828244573312,8.534743722050223
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,22,24.16,0.48,8.554939557427799,8.30594265577447
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,23,21.24,3.16,8.557898405130043,8.594057633792733
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,24,20.32,4.92,8.559292044237269,8.630635650276268
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,25,20.56,3.64,8.559518288379563,8.637808611816821
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,26,21.68,3.08,8.556003726747978,8.529325204961111
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,27,20.24,6.04,8.560697079145328,8.632127728901924
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,28,21.88,1.36,8.558523752921884,8.698599093531108
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,29,23.4,0.72,8.555113786638122,8.384601691143747
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,30,20.92,3.56,8.557261649436802,8.572748028227481
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,31,20.08,5.36,8.564510314982698,8.814423125346226
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,32,24.24,0.32,8.553905951161457,8.271645021645021
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,33,20.36,5.56,8.561863653825785,8.757779437391088
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,34,20.36,5.0,8.558322159351297,8.648255191607793
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,35,20.52,5.0,8.552843835433876,8.344547053649956
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,36,20.2,5.2,8.556477955080231,8.55199342375668
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,37,22.04,4.12,8.555102126461962,8.525340283811179
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,38,20.12,6.8,8.563802550646033,8.852889474840696
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,39,21.24,4.28,8.555078304529383,8.497960372960375
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,40,22.76,2.44,8.556348878079469,8.43805003460892
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,41,22.56,2.68,8.551257305649566,8.179193899782135
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,44,20.08,5.12,8.561300807264882,8.715135738192634
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,45,20.8,4.0,8.559109224748893,8.683043063859284
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,46,20.16,4.0,8.56109293888266,8.805004409171076
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,48,21.24,3.72,8.555813968150174,8.50069498069498
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,49,21.52,3.64,8.555130852379614,8.465273829827554
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,50,20.24,4.92,8.558422105153891,8.580938833570412
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,51,20.64,4.36,8.558483377662295,8.594168096054887
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,53,20.64,4.64,8.554484135042937,8.444160681032189
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,54,23.44,0.0,8.555580027024545,8.267142457318778
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,55,20.88,3.76,8.556260768029448,8.5075743170438
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,two_channel_kg,56,20.6,4.08,8.559902852005973,8.636943744752307
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,01,31.56,1.84,8.555081986387012,8.35949741315595
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,02,30.88,1.6,8.557976967206264,8.635873229939312
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,04,30.56,1.52,8.55733204023587,8.519881085098477
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,05,31.32,2.08,8.554155994332417,8.29320987654321
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,06,30.68,1.96,8.554621468654776,8.431945521937767
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,08,31.28,1.48,8.55669812146951,8.508233957978423
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,09,30.76,1.44,8.557175430082482,8.553915436577434
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,10,29.6,1.72,8.558611835159958,8.68655574679671
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,11,31.44,1.68,8.559711528912427,8.715625586193958
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,12,31.68,1.88,8.559003989389069,8.560529336304098
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,13,30.36,1.68,8.55610489599144,8.443810730882975
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,15,30.32,1.92,8.55837942380832,8.658482845451683
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,16,30.4,2.32,8.55607518889039,8.519994162288384
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,17,31.2,2.36,8.557959186495435,8.66492682427592
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,18,30.76,2.16,8.556669020669997,8.485706993363962
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,19,31.44,2.52,8.557796577436775,8.577984966753396
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,20,30.48,2.08,8.556467454683258,8.534743722050223
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,22,30.6,1.8,8.554735911045091,8.30594265577447
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,23,29.92,1.56,8.55783635681173,8.594057633792733
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,24,30.72,1.52,8.558336386930172,8.630635650276268
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,25,30.48,1.28,8.559038094769472,8.637808611816821
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,26,31.48,1.92,8.555890766926659,8.529325204961111
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,27,30.36,1.84,8.55852888138446,8.632127728901924
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,28,30.68,1.64,8.558372546453477,8.698599093531108
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,29,30.92,1.52,8.554872576630956,8.384601691143747
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,30,30.48,1.8,8.557446325275077,8.572748028227481
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,31,31.64,2.0,8.56061912005638,8.814423125346226
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,32,30.72,1.92,8.55307441760648,8.271645021645021
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,33,32.64,1.64,8.559310748980018,8.757779437391088
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,34,31.76,1.8,8.557368073314212,8.648255191607793
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,35,29.12,1.84,8.554590072899146,8.344547053649956
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,36,31.32,1.92,8.556845426311842,8.55199342375668
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,37,30.92,1.6,8.55488221359063,8.525340283811179
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,38,30.56,2.0,8.56150173117438,8.852889474840696
